elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes,phys_footprint_mb,phys_footprint_peak_mb,reclaimable_mb,compressed_mb,conj_snapshots_total,conj_current_epoch,conj_ceiling,conj_durable_watermark,durable_watermark_lag,claims,claim_lag_p50,claim_lag_p99,claim_lag_max,ret_epochs_claim_only,ret_epochs_durability_only,ret_epochs_both,ret_epochs_neither,ret_refs_claim_only,ret_refs_durability_only,ret_refs_both,ret_refs_neither,ret_stamped_bytes,ret_epochs_unslotted,ret_refs_open_epoch,ret_stamped_bytes_open_epoch,indexed_refs,considered_total,dropped_total,matched_nothing_total,absent_total,bytes_freed_total,removed_refs_observed_total,removed_bytes_observed_total,stamped_bytes_total,clean_mb,alloc_live_bytes,alloc_live_mb,alloc_probe_elapsed_s,alloc_probe_seq,je_allocated,je_active,je_resident,je_retained,je_mapped,je_metadata,je_probe_elapsed_s,je_probe_seq,bytes_alloc,bytes_dealloc
0,3.484,0.000,0.000,0.000,,2.250,2.250,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.875,91100,0.087,0,1,,,,,,,,,92120,1020
60,41.719,3.043,1.516,4.559,23496,33.344,34.297,1.719,0.000,14,4,4,2,2,1,0,0,0,0,1,0,0,0,1000,0,0,20535,0,141,2961,1141,1000,1000,0,0,19820,1000,19820,40355,6.531,19150089,18.263,60,3,,,,,,,,,739918255,720768166
120,56.516,3.203,2.520,5.723,26628,40.672,40.672,9.109,0.000,26,6,6,4,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,267,5607,1267,3000,3000,0,0,61355,3000,61355,82355,6.609,22830766,21.773,120,5,,,,,,,,,1716181395,1693350629
180,66.891,3.242,2.520,5.762,29673,44.954,45.188,15.250,0.000,40,8,8,6,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,413,8673,1413,5000,5000,0,0,103355,5000,103355,124355,6.609,25672883,24.484,180,7,,,,,,,,,2869812702,2844139819
240,83.891,3.086,4.527,7.613,31920,52.422,55.891,24.984,0.000,52,10,10,8,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,520,10920,1520,7000,7000,0,0,145355,7000,145355,166355,6.609,29766191,28.387,240,9,,,,,,,,,4225579661,4195813470
300,94.938,3.117,4.527,7.645,34146,52.657,55.891,35.375,0.000,65,12,12,10,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,626,13146,1626,9000,9000,0,0,187355,9000,187355,208355,6.609,32759460,31.242,300,11,,,,,,,,,5762982089,5730222629
360,107.656,3.469,4.527,7.992,33894,55.719,56.969,44.812,0.000,78,14,14,12,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,614,12894,1614,11000,11000,0,0,229355,11000,229355,250355,6.828,35765052,34.108,360,13,,,,,,,,,7423500053,7387735001
420,123.938,3.227,8.543,11.770,37270,63.172,63.172,55.266,0.000,91,16,16,14,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,769,16270,1769,13000,13000,0,0,271355,13000,271355,292355,6.828,42259323,40.302,420,15,,,,,,,,,9368154183,9325894860
480,133.672,3.195,8.543,11.738,33594,58.860,67.704,68.000,0.000,104,18,18,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,846,18612,846,15000,15000,0,0,313707,16000,335707,335707,6.828,42801251,40.818,480,17,,,,,,,,,11495006403,11452205152
540,148.562,3.242,8.543,11.781,21296,60.485,67.704,81.812,0.000,117,20,20,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,968,21296,968,18000,18000,0,0,379707,18000,379707,379707,6.828,46389847,44.241,540,19,,,,,,,,,13968648387,13922258540
600,152.406,3.367,8.543,11.906,24442,58.251,67.704,88.562,0.000,130,23,23,21,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,111,2442,1111,20000,20000,0,0,423707,20000,423707,445707,6.828,49652828,47.353,600,21,,,,,,,,,16490262854,16440610026
660,159.391,3.297,8.543,11.852,23738,55.860,67.704,96.422,0.000,143,25,25,23,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,79,1738,1079,22000,22000,0,0,467707,22000,467707,489707,6.828,52392594,49.965,660,23,,,,,,,,,19042687479,18990294885
720,162.656,3.156,8.543,11.695,41910,54.407,67.704,101.172,0.000,156,27,27,25,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,241,5302,1241,23000,23000,0,0,489707,24000,511707,533707,6.828,55125748,52.572,720,25,,,,,,,,,21714907300,21659781552
780,172.609,3.266,16.574,19.840,30316,60.219,67.704,105.312,0.000,169,29,29,27,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,378,8316,1378,26000,26000,0,0,555707,26000,555707,577707,6.828,54086049,51.580,780,27,,,,,,,,,25066078394,25011992345
840,184.422,3.395,16.574,19.973,33462,65.001,67.704,112.344,0.000,182,31,31,29,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,521,11462,1521,28000,28000,0,0,599707,28000,599707,621707,6.828,68099992,64.945,840,29,,,,,,,,,28424240969,28356140977
