elapsed_secs,render_class,identity_lhs,identity_rhs,identity_holds
1840,CONSISTENT,1000,1120,0
1850,CONSISTENT,1000,1453,0
1860,TORN,0,661,
1870,CONSISTENT,1000,1021,0
1880,CONSISTENT,1000,1421,0
1890,CONSISTENT,0,729,0
1900,CONSISTENT,1000,1029,0
1910,TORN,1000,1377,
1920,CONSISTENT,0,623,0
1930,TORN,0,973,
1941,CONSISTENT,1000,1369,0
1950,CONSISTENT,0,599,0
1960,TORN,0,920,
1970,CONSISTENT,1000,1312,0
1980,CONSISTENT,0,603,0
1990,TORN,0,866,
2000,CONSISTENT,1000,1269,0
2010,TORN,1000,1663,
2020,TORN,0,871,
2030,TORN,1000,1238,
2040,CONSISTENT,0,582,0
2050,CONSISTENT,0,846,0
2060,CONSISTENT,1000,1249,0
2070,CONSISTENT,1000,1607,0
2080,CONSISTENT,0,815,0
2090,CONSISTENT,1000,1203,0
2100,CONSISTENT,1000,1583,0
2110,CONSISTENT,0,687,0
2120,CONSISTENT,1000,1047,0
2130,TORN,1000,1443,
2140,CONSISTENT,1000,1847,0
2150,CONSISTENT,1000,1061,0
2160,CONSISTENT,1000,1400,0
2170,TORN,0,605,
2180,CONSISTENT,1000,1001,0
2190,CONSISTENT,1000,1387,0
2200,CONSISTENT,1000,1738,0
2210,CONSISTENT,1000,1061,0
2220,CONSISTENT,1000,1317,0
2230,TORN,0,531,
2240,TORN,0,883,
2250,CONSISTENT,1000,1274,0
2260,CONSISTENT,1000,1666,0
2270,CONSISTENT,2000,2053,0
2280,CONSISTENT,1000,1259,0
2290,CONSISTENT,0,557,0
2300,TORN,0,826,
2310,TORN,1000,1217,
2320,CONSISTENT,0,593,0
2330,CONSISTENT,0,784,0
2340,CONSISTENT,1000,1171,0
2350,CONSISTENT,1000,1570,0
2360,TORN,0,783,
2370,CONSISTENT,1000,1184,0
2380,CONSISTENT,1000,1540,0
2390,CONSISTENT,0,756,0
2400,CONSISTENT,1000,1156,0
2410,CONSISTENT,0,389,0
2420,CONSISTENT,0,636,0
2430,CONSISTENT,0,994,0
2440,TORN,1000,1383,
2450,TORN,1000,1776,
2460,CONSISTENT,0,999,0
2470,CONSISTENT,1000,1342,0
2480,CONSISTENT,0,549,0
2490,TORN,0,921,
2500,CONSISTENT,1000,1307,0
2510,CONSISTENT,1000,1640,0
2520,CONSISTENT,0,971,0
2530,CONSISTENT,1000,1223,0
2540,CONSISTENT,0,563,0
2550,CONSISTENT,0,800,0
2560,CONSISTENT,1000,1125,0
2570,CONSISTENT,1000,1496,0
2580,CONSISTENT,1000,1866,0
2590,CONSISTENT,1000,1072,0
2600,CONSISTENT,1000,1459,0
2610,TORN,1000,1799,
2620,CONSISTENT,1000,1001,0
2630,CONSISTENT,1000,1385,0
2640,CONSISTENT,1000,1766,0
2650,CONSISTENT,0,929,0
2660,CONSISTENT,1000,1304,0
2670,CONSISTENT,1000,1698,0
2680,CONSISTENT,0,896,0
2690,CONSISTENT,1000,1244,0
2700,CONSISTENT,1000,1619,0
2710,CONSISTENT,0,701,0
2720,CONSISTENT,1000,1085,0
2730,TORN,1000,1440,
2740,CONSISTENT,1000,1831,0
2750,CONSISTENT,1000,1035,0
2760,CONSISTENT,1000,1421,0
