elapsed_secs,topgun_or_prune_passes_total,topgun_or_prune_considered_total,topgun_or_prune_dropped_total,topgun_or_prune_matched_nothing_total,topgun_or_prune_absent_total,topgun_or_prune_restored_read_error_total,topgun_or_prune_restored_evicted_total,topgun_or_prune_restored_write_error_total,topgun_or_prune_bytes_freed_total,topgun_or_prune_epochs_drained_total,topgun_or_prune_empty_drains_total,topgun_or_prune_nonempty_drains_total,topgun_or_prune_lwm_advances_total,topgun_or_prune_lwm_epochs_advanced_total,topgun_or_prune_split_recomputes_total,topgun_or_prune_indexed_refs,topgun_or_prune_indexed_epochs,topgun_or_prune_eligible_refs,topgun_or_prune_ineligible_refs,topgun_or_prune_split_computed_epoch,topgun_or_prune_current_epoch,topgun_or_prune_low_water_mark,topgun_or_prune_durable_epoch_watermark,topgun_or_prune_last_drained_epoch,topgun_or_prune_lwm_stall_seconds,topgun_or_prune_tracked_claims,topgun_or_prune_drain_refs_sum,topgun_or_prune_drain_refs_count,topgun_or_prune_drain_epochs_sum,topgun_or_prune_drain_epochs_count,topgun_or_prune_claim_span_epochs_sum,topgun_or_prune_claim_span_epochs_count,topgun_or_prune_claim_lag_epochs_sum,topgun_or_prune_claim_lag_epochs_count,topgun_or_prune_epoch_considered_sum,topgun_or_prune_epoch_considered_count,topgun_or_prune_epoch_dropped_sum,topgun_or_prune_epoch_dropped_count,topgun_or_prune_epoch_bytes_freed_sum,topgun_or_prune_epoch_bytes_freed_count,topgun_ormap_tombstone_bytes_total,topgun_or_prune_drain_refs_p50
10,342,0,0,0,0,0,0,0,0,0,342,0,2,2,2,342,1,0,58,2,2,2,0,0,8,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,6659,0
20,712,0,0,0,0,0,0,0,0,0,712,0,2,2,2,712,1,0,58,2,2,2,0,0,18,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,14059,0
30,1025,0,0,0,0,0,0,0,0,0,1025,0,2,2,2,1025,2,0,58,2,3,2,0,0,26,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,20319,0
40,1399,0,0,0,0,0,0,0,0,0,1399,0,3,3,3,1399,2,0,1044,3,3,3,0,0,8,1,0,0,0,0,0,3,0,3,0,0,0,0,0,0,27799,0
50,1740,0,0,0,0,0,0,0,0,0,1740,0,3,3,4,741,1,1000,737,3,3,3,2,2,20,1,0,0,0,0,0,4,0,4,0,0,0,0,0,0,34915,0
60,1997,1000,1000,0,0,0,0,0,19819,1,1996,1,3,3,4,997,1,1000,737,3,3,3,2,2,28,1,1000,1,1,1,0,4,0,4,1000,1,1000,1,19819,1,40333,999.9447405703887
70,2340,1000,1000,0,0,0,0,0,19819,1,2339,1,4,4,5,1340,2,0,1073,4,4,4,2,2,6,1,1000,1,1,1,0,5,0,5,1000,1,1000,1,19819,1,47494,999.9447405703887
80,2699,1000,1000,0,0,0,0,0,19819,1,2698,1,4,4,5,1699,2,0,1073,4,4,4,2,2,16,1,1000,1,1,1,0,5,0,5,1000,1,1000,1,19819,1,55033,999.9447405703887
90,2950,2000,2000,0,0,0,0,0,40354,2,2948,2,4,4,6,950,1,1000,937,4,4,4,3,3,26,1,2000,2,2,2,0,6,0,6,2000,2,2000,2,40354,2,60304,999.9447405703887
101,3345,2000,2000,0,0,0,0,0,40354,2,3343,2,5,5,7,1345,2,0,1034,5,5,5,3,3,8,1,2000,2,2,2,0,7,0,7,2000,2,2000,2,40354,2,68599,999.9447405703887
110,3551,3000,3000,0,0,0,0,0,61354,3,3548,3,5,5,8,551,1,1000,484,5,5,5,4,4,16,1,3000,3,3,3,0,8,0,8,3000,3,3000,3,61354,3,72925,999.9447405703887
120,3910,3000,3000,0,0,0,0,0,61354,3,3907,3,5,5,8,910,1,1000,484,5,5,5,4,4,26,1,3000,3,3,3,0,8,0,8,3000,3,3000,3,61354,3,80464,999.9447405703887
130,4289,3000,3000,0,0,0,0,0,61354,3,4286,3,6,6,9,1289,2,0,1007,6,6,6,4,4,6,1,3000,3,3,3,0,9,0,9,3000,3,3000,3,61354,3,88423,999.9447405703887
140,4653,3000,3000,0,0,0,0,0,61354,3,4650,3,6,6,9,1653,2,0,1007,6,6,6,4,4,16,1,3000,3,3,3,0,9,0,9,3000,3,3000,3,61354,3,96067,999.9447405703887
150,4835,4000,4000,0,0,0,0,0,82354,4,4831,4,6,6,10,835,1,1000,671,6,6,6,5,5,26,1,4000,4,4,4,0,10,0,10,4000,4,4000,4,82354,4,99910,999.9447405703887
160,5204,4000,4000,0,0,0,0,0,82354,4,5200,4,7,7,11,1204,2,0,1015,7,7,7,5,5,4,1,4000,4,4,4,0,11,0,11,4000,4,4000,4,82354,4,107638,999.9447405703887
170,5562,4000,4000,0,0,0,0,0,82354,4,5558,4,7,7,11,1562,2,0,1015,7,7,7,5,5,14,1,4000,4,4,4,0,11,0,11,4000,4,4000,4,82354,4,115156,999.9447405703887
180,5832,4000,4000,0,0,0,0,0,82354,4,5828,4,7,7,12,833,1,1000,828,7,7,7,6,6,24,1,4000,4,4,4,0,12,0,12,4000,4,4000,4,82354,4,120847,999.9447405703887
190,6110,5000,5000,0,0,0,0,0,103354,5,6105,5,8,8,13,1110,2,0,1006,8,8,8,6,6,2,1,5000,5,5,5,0,13,0,13,5000,5,5000,5,103354,5,126664,999.9447405703887
200,6469,5000,5000,0,0,0,0,0,103354,5,6464,5,8,8,13,1469,2,0,1006,8,8,8,6,6,12,1,5000,5,5,5,0,13,0,13,5000,5,5000,5,103354,5,134203,999.9447405703887
