elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes
0,3.062,0.000,0.000,0.000,
60,40.906,2.785,1.516,4.297,25896
120,56.547,2.969,2.520,5.488,26670
180,67.953,2.898,4.527,7.426,28854
240,85.312,2.953,4.527,7.480,29169
300,100.750,3.082,4.527,7.609,30387
360,117.203,3.184,4.527,7.711,29106
420,133.641,2.871,8.543,11.410,29946
480,145.250,3.043,8.543,11.594,30734
540,164.625,2.961,8.543,11.504,29898
600,192.859,2.934,8.543,11.473,27830
660,225.719,3.051,8.543,11.594,24420
720,254.531,3.043,8.543,11.578,21648
780,285.594,3.027,8.543,11.574,19888
840,353.344,3.109,16.574,19.676,19360
900,426.203,3.082,16.574,19.656,16610
960,444.359,3.180,16.574,19.754,37686
1020,490.703,3.207,16.574,19.781,21714
1080,541.297,3.590,16.574,20.156,40502
1140,578.062,3.559,16.574,20.133,39710
1200,616.453,3.586,16.574,20.160,31878
1260,650.688,3.836,16.574,20.406,36168
1320,703.719,3.801,16.574,20.371,35904
1380,751.031,4.238,16.574,20.812,35728
1440,789.703,4.113,16.574,20.684,34474
1500,826.078,4.426,16.574,21.000,31438
1560,866.891,4.730,16.574,21.301,29612
1620,902.406,5.059,16.574,21.637,46552
1680,908.672,5.355,32.637,37.977,26026
1740,916.203,5.691,32.637,38.332,26598
