elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes,phys_footprint_mb,phys_footprint_peak_mb,reclaimable_mb,compressed_mb,conj_snapshots_total,conj_current_epoch,conj_ceiling,conj_durable_watermark,durable_watermark_lag,claims,claim_lag_p50,claim_lag_p99,claim_lag_max,ret_epochs_claim_only,ret_epochs_durability_only,ret_epochs_both,ret_epochs_neither,ret_refs_claim_only,ret_refs_durability_only,ret_refs_both,ret_refs_neither,ret_stamped_bytes,ret_epochs_unslotted,ret_refs_open_epoch,ret_stamped_bytes_open_epoch,indexed_refs,considered_total,dropped_total,matched_nothing_total,absent_total,bytes_freed_total,removed_refs_observed_total,removed_bytes_observed_total,stamped_bytes_total,clean_mb
1860,1770.625,3.336,32.637,35.977,41272,1007.330,1007.330,765.203,7.625,404,68,68,66,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,875,19250,1875,65000,65000,0,0,1413706,65000,1413706,1435706,6.453
1920,1814.141,3.223,32.637,35.852,40216,1077.142,1077.142,739.609,7.625,417,71,71,69,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,41,902,1041,67000,67000,0,0,1457706,68000,1479706,1501706,6.453
1980,1877.969,3.293,32.637,35.957,26290,1148.439,1148.439,731.719,7.625,430,73,73,71,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,194,4268,1194,70000,70000,0,0,1523706,70000,1523706,1545706,6.453
2040,1961.719,3.578,32.637,36.215,30140,1130.533,1161.189,833.141,7.625,443,75,75,73,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,369,8118,1369,72000,72000,0,0,1567706,72000,1567706,1589706,6.453
2100,2032.406,3.551,32.637,36.188,32736,1123.252,1182.189,911.375,7.625,456,77,77,75,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,487,10714,1487,74000,74000,0,0,1611706,74000,1611706,1633706,6.453
2160,2109.281,3.344,32.637,35.980,33858,1199.924,1199.924,911.375,7.625,469,79,79,77,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,539,11858,1539,76000,76000,0,0,1655706,76000,1655706,1677706,6.453
2220,2186.344,3.383,32.637,36.016,38456,1196.736,1263.065,992.078,7.625,482,81,81,79,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,748,16456,1748,78000,78000,0,0,1699706,78000,1699706,1721706,6.453
2280,2279.172,3.414,32.637,36.051,19228,1289.112,1289.112,992.078,7.531,495,83,83,82,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,874,19228,874,81000,81000,0,0,1765706,81000,1765706,1765706,6.453
2340,2351.438,3.363,32.637,36.008,22220,1293.877,1301.987,1059.984,7.531,508,86,85,84,2,1,1,1,1,0,0,1,0,0,0,1000,0,22000,0,10,220,1010,83000,83000,0,0,1809706,83000,1809706,1831706,6.453
2400,2414.219,3.148,32.637,35.789,46662,1356.315,1356.315,1059.984,7.531,521,88,88,85,3,1,0,0,0,0,2,0,0,0,2000,0,0,44000,0,121,2662,2121,84000,84000,0,0,1831706,84000,1831706,1875706,6.453
