elapsed_secs,topgun_or_prune_passes_total,topgun_or_prune_considered_total,topgun_or_prune_dropped_total,topgun_or_prune_matched_nothing_total,topgun_or_prune_absent_total,topgun_or_prune_restored_read_error_total,topgun_or_prune_restored_evicted_total,topgun_or_prune_restored_write_error_total,topgun_or_prune_bytes_freed_total,topgun_or_prune_epochs_drained_total,topgun_or_prune_empty_drains_total,topgun_or_prune_nonempty_drains_total,topgun_or_prune_lwm_advances_total,topgun_or_prune_lwm_epochs_advanced_total,topgun_or_prune_split_recomputes_total,topgun_or_prune_indexed_refs,topgun_or_prune_indexed_epochs,topgun_or_prune_eligible_refs,topgun_or_prune_ineligible_refs,topgun_or_prune_split_computed_epoch,topgun_or_prune_current_epoch,topgun_or_prune_low_water_mark,topgun_or_prune_durable_epoch_watermark,topgun_or_prune_last_drained_epoch,topgun_or_prune_lwm_stall_seconds,topgun_or_prune_tracked_claims,topgun_or_prune_drain_refs_sum,topgun_or_prune_drain_refs_count,topgun_or_prune_drain_epochs_sum,topgun_or_prune_drain_epochs_count,topgun_or_prune_claim_span_epochs_sum,topgun_or_prune_claim_span_epochs_count,topgun_or_prune_claim_lag_epochs_sum,topgun_or_prune_claim_lag_epochs_count,topgun_or_prune_epoch_considered_sum,topgun_or_prune_epoch_considered_count,topgun_or_prune_epoch_dropped_sum,topgun_or_prune_epoch_dropped_count,topgun_or_prune_epoch_bytes_freed_sum,topgun_or_prune_epoch_bytes_freed_count,topgun_ormap_tombstone_bytes_total,topgun_or_prune_drain_refs_p50
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6820,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14020,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20940,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28540,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36051,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41007,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48798,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56547,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64590,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70659,
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78009,
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83826,
130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91722,
140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97539,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105708,
160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113814,
170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120429,
180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126246,
190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134436,
200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142773,
210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148107,
220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155457,
