elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes
7320,2764.016,147.605,102.027,249.633,297769
7380,2783.891,149.480,103.027,252.504,298597
7440,2803.703,151.387,103.027,254.414,301817
7500,2822.219,153.754,103.027,256.770,326151
7560,2840.328,155.629,103.027,258.645,325530
7620,2859.766,157.582,103.027,260.613,325530
7680,2878.250,159.496,103.027,262.523,325116
7740,2896.609,161.449,103.027,264.469,326082
7800,2924.453,163.223,103.027,266.262,326496
7860,2942.812,165.367,103.027,268.387,324403
7920,2961.266,167.230,103.027,270.266,325323
7980,2979.641,169.207,103.027,272.250,324679
8040,2998.734,171.316,103.027,274.324,324771
8100,3022.641,173.324,103.027,276.355,324771
8160,3041.312,175.461,103.027,278.484,348944
8220,3099.500,177.508,103.027,280.527,349151
8280,3118.375,179.031,103.027,282.062,329049
8340,3136.547,181.152,103.027,284.191,332591
8400,3157.406,183.402,103.027,286.422,349243
8460,3176.578,185.332,103.027,288.352,347748
8520,3196.719,187.340,103.027,290.367,347656
8580,3216.594,189.344,103.027,292.367,347081
8640,3236.156,191.316,103.027,294.348,347150
8700,3254.547,193.254,103.027,296.281,347794
8760,3273.359,195.113,103.027,298.129,345471
8820,3292.469,197.246,103.027,300.277,345379
8880,3312.875,199.191,103.027,302.215,346437
8940,3345.266,201.258,103.027,304.277,346598
9000,3369.156,203.426,103.027,306.461,371162
9060,3388.859,205.117,103.027,308.152,349335
9120,3408.422,207.535,106.027,313.574,373577
9180,3429.078,209.535,106.027,315.566,375716
9240,3448.953,211.410,106.027,317.438,350117
9300,3467.625,213.676,106.027,319.703,376774
9360,3495.781,215.605,106.027,321.641,374474
9420,3515.906,217.840,106.027,323.855,374405
9480,3547.750,219.668,106.027,325.684,374336
9540,3567.438,221.680,106.027,327.695,374405
9600,3597.391,223.801,106.027,329.820,374129
9660,3619.625,225.617,106.027,331.648,372404
9720,3640.594,227.828,106.027,333.852,372450
9780,3662.578,229.469,106.027,335.496,372565
9840,3684.234,231.820,106.027,337.836,372634
9900,3703.578,233.613,106.027,339.645,372335
9960,3734.875,235.504,106.027,341.523,370771
10020,3756.766,237.605,106.027,343.625,371346
10080,3777.812,239.617,106.027,345.652,371254
10140,3799.688,241.691,106.027,347.719,370679
10200,3820.406,243.598,106.027,349.617,371990
10260,3841.578,245.875,106.027,351.883,396002
10320,3875.047,247.754,106.027,353.785,378453
10380,3895.984,250.094,106.027,356.125,396508
10440,3918.047,251.977,106.027,358.012,395726
10500,3940.453,254.082,106.027,360.113,391448
10560,3963.156,256.176,106.027,362.199,397221
10620,3982.922,258.125,106.027,364.145,397681
10680,4005.078,260.172,106.027,366.188,398187
10740,4035.594,262.250,106.027,368.289,398302
10800,4060.234,264.188,106.027,370.207,399337
10860,4083.828,266.176,107.027,373.199,396922
10920,4109.125,268.324,109.027,377.355,396853
10980,4134.281,270.219,109.027,379.238,397313
11040,4162.141,272.051,113.027,385.074,398532
11100,4193.906,274.000,117.027,391.023,399061
11160,4216.688,276.055,121.027,397.086,396278
11220,4244.609,278.055,125.027,403.062,396324
11280,4275.062,280.316,125.027,405.344,396439
11340,4297.844,282.195,125.027,407.230,396761
11400,4320.797,284.410,125.027,409.445,424315
11460,4340.641,286.000,125.027,411.012,396830
11520,4367.094,288.402,125.027,413.430,423487
11580,4411.031,290.242,125.027,415.262,414816
11640,4439.219,292.438,125.027,417.473,423441
11700,4460.812,294.418,125.027,419.465,423165
11760,4509.422,296.375,127.027,423.398,420865
11820,4528.562,298.453,127.027,425.473,421233
11880,4555.953,300.219,127.027,427.242,421141
11940,4577.688,302.531,127.027,429.559,420980
12000,4603.719,304.434,127.027,431.477,421095
12060,4629.406,306.461,127.027,433.473,418818
12120,4651.672,308.387,127.027,435.414,418910
12180,4671.969,310.641,127.027,437.652,418864
12240,4693.562,312.539,127.027,439.555,418956
12300,4727.969,314.641,127.027,441.660,418933
