elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes
0,3.000,0.000,0.000,0.000,
60,41.516,3.023,1.516,4.539,23937
120,54.484,2.820,2.520,5.340,24717
180,65.891,2.809,2.520,5.316,24213
240,82.391,2.938,4.527,7.465,22890
300,95.531,2.910,4.527,7.438,21567
360,109.672,2.941,4.527,7.469,17997
420,121.734,2.996,4.527,7.523,16947
480,139.109,3.047,8.543,11.586,34569
540,155.156,2.953,8.543,11.496,38522
600,165.531,3.137,8.543,11.684,36784
660,197.484,2.809,8.543,11.348,32648
720,227.062,3.125,8.543,11.668,30580
780,259.844,2.867,8.543,11.414,27544
840,293.625,3.156,8.543,11.699,25168
