elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes
3720,2164.750,54.051,64.762,118.812,202048
3780,2176.906,55.773,64.762,120.535,202510
3840,2189.719,57.730,64.762,122.496,227876
3900,2202.859,59.355,64.762,124.113,228250
3960,2224.281,60.918,64.762,125.676,225522
4020,2237.109,62.625,64.762,127.383,226468
4080,2259.250,64.305,64.762,129.066,227414
4140,2277.172,65.746,64.762,130.500,228096
4201,2291.047,67.488,64.762,132.250,227832
4260,2306.422,69.262,64.762,134.031,242110
4320,2319.625,70.852,64.762,135.609,232012
4380,2332.844,72.664,64.762,137.418,227238
4440,2352.438,74.590,64.762,139.352,252758
4500,2366.922,76.246,64.762,141.004,252538
4560,2394.375,77.992,64.762,142.758,251548
4620,2408.094,79.555,64.762,144.316,251834
4680,2424.234,81.527,64.762,146.285,252494
4740,2437.344,83.375,64.762,148.129,253568
4800,2453.516,85.195,64.762,149.949,253834
4860,2486.969,86.984,64.762,151.750,268324
4920,2502.250,88.766,64.762,153.527,265265
4980,2516.266,90.438,64.762,155.195,255237
5040,2529.781,92.766,64.762,157.512,281457
5100,2544.578,94.590,64.762,159.352,280951
5160,2557.438,96.352,64.762,161.113,279548
5220,2572.688,98.281,64.762,163.043,279778
5280,2594.250,100.062,64.762,164.820,279847
5340,2613.703,101.688,64.762,166.445,279824
5400,2636.516,103.637,64.762,168.398,279410
5460,2655.969,105.328,64.762,170.082,277087
5520,2675.469,107.141,64.762,171.906,275224
