elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes
0,3.047,0.000,0.000,0.000,
60,39.250,2.855,1.516,4.371,22761
120,53.359,2.949,2.520,5.469,23982
180,64.922,3.039,2.520,5.555,23079
240,79.750,3.035,4.527,7.562,22407
300,89.859,2.980,4.527,7.508,30555
360,102.562,2.992,4.527,7.520,18858
420,116.281,3.078,4.527,7.605,41370
480,126.938,3.008,8.543,11.547,16500
541,142.984,3.094,8.543,11.637,39798
600,149.828,3.102,8.543,11.641,34716
660,152.953,2.891,8.543,11.434,35046
720,181.438,3.156,8.543,11.695,33660
780,213.469,3.023,8.543,11.574,30998
840,255.156,3.180,8.543,11.723,29128
