elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes,phys_footprint_mb,phys_footprint_peak_mb,reclaimable_mb,compressed_mb,conj_snapshots_total,conj_current_epoch,conj_ceiling,conj_durable_watermark,durable_watermark_lag,claims,claim_lag_p50,claim_lag_p99,claim_lag_max,ret_epochs_claim_only,ret_epochs_durability_only,ret_epochs_both,ret_epochs_neither,ret_refs_claim_only,ret_refs_durability_only,ret_refs_both,ret_refs_neither,ret_stamped_bytes,ret_epochs_unslotted,ret_refs_open_epoch,ret_stamped_bytes_open_epoch,indexed_refs,considered_total,dropped_total,matched_nothing_total,absent_total,bytes_freed_total,removed_refs_observed_total,removed_bytes_observed_total,stamped_bytes_total,clean_mb
0,14.109,0.047,1.516,1.551,0,8.297,8.297,0.000,0.000,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.016
60,40.578,3.027,1.516,4.543,27969,33.016,33.016,1.484,0.000,14,4,4,2,2,1,0,0,0,0,1,0,0,0,1000,0,0,20535,0,354,7434,1354,1000,1000,0,0,19820,1000,19820,40355,6.219
120,55.078,3.094,2.520,5.617,34608,41.141,41.141,7.406,0.000,28,6,6,4,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,648,13608,1648,3000,3000,0,0,61355,3000,61355,82355,6.266
180,72.625,3.164,4.527,7.688,41727,52.329,52.329,13.797,0.000,41,8,8,6,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,987,20727,1987,5000,5000,0,0,103355,5000,103355,124355,6.266
240,112.031,3.258,4.527,7.785,42966,57.625,77.985,48.562,0.000,53,11,11,9,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,134,2814,1134,7000,7000,0,0,145355,8000,166355,187355,6.266
300,170.109,3.219,4.527,7.758,31038,88.469,89.719,75.453,0.000,66,13,13,11,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,478,10038,1478,10000,10000,0,0,208355,10000,208355,229355,6.266
360,220.938,3.426,4.527,7.953,33117,94.094,94.094,121.016,0.000,79,15,15,13,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,577,12117,1577,12000,12000,0,0,250355,12000,250355,271355,6.453
420,281.172,3.262,8.543,11.801,40294,85.688,97.938,188.969,0.000,92,17,17,15,2,1,0,0,0,0,1,0,0,0,1000,0,0,21352,0,861,18942,1861,14000,14000,0,0,292355,14000,292355,313707,6.453
480,349.359,3.312,8.543,11.855,46464,98.657,103.923,244.875,0.000,105,20,20,17,3,1,0,0,0,0,2,0,0,0,2000,0,0,44000,0,112,2464,2112,16000,16000,0,0,335707,16000,335707,379707,6.453
540,429.250,3.281,8.543,11.828,31702,107.313,116.907,315.531,0.000,118,22,22,20,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,441,9702,1441,19000,19000,0,0,401707,19000,401707,423707,6.453
600,512.531,3.246,8.543,11.801,38940,112.141,121.157,394.094,0.000,131,24,24,22,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,769,16918,1769,21000,21000,0,0,445707,21000,445707,467707,6.453
660,573.828,3.359,8.543,11.898,39248,115.595,121.157,452.453,0.000,144,26,26,24,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,784,17248,1784,23000,23000,0,0,489707,23000,489707,511707,6.453
720,641.125,3.344,8.543,11.887,36982,110.470,122.985,524.656,0.000,157,28,28,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,863,18986,863,25000,25000,0,0,533707,26000,555707,555707,6.453
780,731.859,3.488,16.574,20.070,25630,133.251,133.251,593.016,0.000,170,31,31,29,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,63,1386,1063,27000,27000,0,0,577707,28000,599707,621707,6.453
840,798.219,3.379,16.574,19.957,26114,106.829,139.079,685.219,0.000,183,33,33,31,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,187,4114,1187,30000,30000,0,0,643707,30000,643707,665707,6.453
900,833.094,3.430,16.574,20.004,28116,90.735,139.079,736.125,0.000,196,35,35,33,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,278,6116,1278,32000,32000,0,0,687707,32000,687707,709707,6.453
