elapsed_secs,topgun_or_prune_passes_total,topgun_or_prune_considered_total,topgun_or_prune_dropped_total,topgun_or_prune_matched_nothing_total,topgun_or_prune_absent_total,topgun_or_prune_restored_read_error_total,topgun_or_prune_restored_evicted_total,topgun_or_prune_restored_write_error_total,topgun_or_prune_bytes_freed_total,topgun_or_prune_epochs_drained_total,topgun_or_prune_empty_drains_total,topgun_or_prune_nonempty_drains_total,topgun_or_prune_lwm_advances_total,topgun_or_prune_lwm_epochs_advanced_total,topgun_or_prune_split_recomputes_total,topgun_or_prune_indexed_refs,topgun_or_prune_indexed_epochs,topgun_or_prune_eligible_refs,topgun_or_prune_ineligible_refs,topgun_or_prune_split_computed_epoch,topgun_or_prune_current_epoch,topgun_or_prune_low_water_mark,topgun_or_prune_durable_epoch_watermark,topgun_or_prune_last_drained_epoch,topgun_or_prune_lwm_stall_seconds,topgun_or_prune_tracked_claims,topgun_or_prune_drain_refs_sum,topgun_or_prune_drain_refs_count,topgun_or_prune_drain_epochs_sum,topgun_or_prune_drain_epochs_count,topgun_or_prune_claim_span_epochs_sum,topgun_or_prune_claim_span_epochs_count,topgun_or_prune_claim_lag_epochs_sum,topgun_or_prune_claim_lag_epochs_count,topgun_or_prune_epoch_considered_sum,topgun_or_prune_epoch_considered_count,topgun_or_prune_epoch_dropped_sum,topgun_or_prune_epoch_dropped_count,topgun_or_prune_epoch_bytes_freed_sum,topgun_or_prune_epoch_bytes_freed_count,topgun_ormap_tombstone_bytes_total,topgun_or_prune_drain_refs_p50
240,8099,7000,7000,0,0,0,0,0,145357,7,8092,7,10,10,17,1099,2,0,1001,10,10,10,8,8,2,1,7000,7,7,7,0,17,0,17,7000,7,7000,7,145357,7,168436,999.9447405703887
250,8483,7000,7000,0,0,0,0,0,145357,7,8476,7,10,10,17,1483,2,0,1001,10,10,10,8,8,12,1,7000,7,7,7,0,17,0,17,7000,7,7000,7,145357,7,176500,999.9447405703887
260,8832,7000,7000,0,0,0,0,0,145357,7,8825,7,10,10,18,833,1,1000,824,10,10,10,9,9,22,1,7000,7,7,7,0,18,0,18,7000,7,7000,7,145357,7,183850,999.9447405703887
270,9049,8000,8000,0,0,0,0,0,166357,8,9041,8,11,11,19,1049,2,0,1041,11,11,11,9,9,0,1,8000,8,8,8,0,19,0,19,8000,8,8000,8,166357,8,188386,999.9447405703887
280,9428,8000,8000,0,0,0,0,0,166357,8,9420,8,11,11,19,1428,2,0,1041,11,11,11,9,9,10,1,8000,8,8,8,0,19,0,19,8000,8,8000,8,166357,8,196345,999.9447405703887
290,9819,8000,8000,0,0,0,0,0,166357,8,9811,8,11,11,19,1819,2,0,1041,11,11,11,9,9,20,1,8000,8,8,8,0,19,0,19,8000,8,8000,8,166357,8,204556,999.9447405703887
300,10102,9000,9000,0,0,0,0,0,187357,9,10093,9,12,12,21,1102,2,0,1007,12,12,12,10,10,2,1,9000,9,9,9,0,21,0,21,9000,9,9000,9,187357,9,210499,999.9447405703887
310,10390,9000,9000,0,0,0,0,0,187357,9,10381,9,12,12,21,1390,2,0,1007,12,12,12,10,10,12,1,9000,9,9,9,0,21,0,21,9000,9,9000,9,187357,9,216547,999.9447405703887
320,10651,10000,10000,0,0,0,0,0,208357,10,10641,10,12,12,22,651,1,1000,525,12,12,12,11,11,22,1,10000,10,10,10,0,22,0,22,10000,10,10000,10,208357,10,222028,999.9447405703887
330,11008,10000,10000,0,0,0,0,0,208357,10,10998,10,12,12,22,1008,2,1000,525,12,13,12,11,11,30,1,10000,10,10,10,0,22,0,22,10000,10,10000,10,208357,10,229546,999.9447405703887
340,11403,10000,10000,0,0,0,0,0,208357,10,11393,10,13,13,23,1403,2,0,1016,13,13,13,11,11,10,1,10000,10,10,10,0,23,0,23,10000,10,10000,10,208357,10,237820,999.9447405703887
350,11779,10000,10000,0,0,0,0,0,208357,10,11769,10,13,13,23,1779,2,0,1016,13,13,13,11,11,18,1,10000,10,10,10,0,23,0,23,10000,10,10000,10,208357,10,245716,999.9447405703887
360,12062,10000,10000,0,0,0,0,0,208357,10,12052,10,14,14,25,1063,2,1000,1043,14,14,14,12,12,4,1,10000,10,10,10,0,25,0,25,10000,10,10000,10,208357,10,251680,999.9447405703887
370,12405,11000,11000,0,0,0,0,0,229357,11,12394,11,14,14,25,1405,2,1000,1043,14,14,14,12,12,14,1,11000,11,11,11,0,25,0,25,11000,11,11000,11,229357,11,258862,999.9447405703887
380,12625,12000,12000,0,0,0,0,0,250357,12,12613,12,14,14,26,625,1,1000,587,14,14,14,13,13,24,1,12000,12,12,12,0,26,0,26,12000,12,12000,12,250357,12,263503,999.9447405703887
390,12974,12000,12000,0,0,0,0,0,250357,12,12962,12,14,14,26,974,1,1000,587,14,14,14,13,13,32,1,12000,12,12,12,0,26,0,26,12000,12,12000,12,250357,12,270811,999.9447405703887
