elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes,phys_footprint_mb,phys_footprint_peak_mb,reclaimable_mb,compressed_mb,conj_snapshots_total,conj_current_epoch,conj_ceiling,conj_durable_watermark,durable_watermark_lag,claims,claim_lag_p50,claim_lag_p99,claim_lag_max,ret_epochs_claim_only,ret_epochs_durability_only,ret_epochs_both,ret_epochs_neither,ret_refs_claim_only,ret_refs_durability_only,ret_refs_both,ret_refs_neither,ret_stamped_bytes,ret_epochs_unslotted,ret_refs_open_epoch,ret_stamped_bytes_open_epoch,indexed_refs,considered_total,dropped_total,matched_nothing_total,absent_total,bytes_freed_total,removed_refs_observed_total,removed_bytes_observed_total,stamped_bytes_total,clean_mb,alloc_live_bytes,alloc_live_mb,alloc_probe_elapsed_s,alloc_probe_seq,je_allocated,je_active,je_resident,je_retained,je_mapped,je_metadata,je_probe_elapsed_s,je_probe_seq,bytes_alloc,bytes_dealloc
0,18.172,0.066,1.516,1.578,0,11.110,11.110,0.000,0.000,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.156,,,,,,,,,,,,,,
60,42.641,2.176,1.516,3.691,19659,35.063,35.063,0.000,0.000,14,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,992,19659,992,0,0,0,0,0,0,0,0,7.266,,,,,,,,,,,,,,
120,51.078,2.238,1.516,3.754,15831,43.172,46.985,0.203,0.000,27,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,774,15789,776,1000,1000,0,0,19819,1000,19819,19819,7.391,,,,,,,,,,,,,,
180,54.359,2.277,2.520,4.797,18459,40.454,46.985,6.203,0.000,39,4,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,523,10983,523,1000,1000,0,0,19819,2000,40354,40354,7.391,,,,,,,,,,,,,,
240,59.438,2.152,2.020,4.172,21042,45.579,46.985,6.203,0.000,52,5,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,235,4935,238,2000,2000,0,0,40354,3000,61354,61354,7.391,,,,,,,,,,,,,,
300,64.797,2.270,3.527,5.797,18354,50.079,50.079,7.234,0.000,64,5,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,873,18333,874,3000,3000,0,0,61354,3000,61354,61354,7.391,,,,,,,,,,,,,,
