elapsed_secs,topgun_or_prune_passes_total,topgun_or_prune_considered_total,topgun_or_prune_dropped_total,topgun_or_prune_matched_nothing_total,topgun_or_prune_absent_total,topgun_or_prune_restored_read_error_total,topgun_or_prune_restored_evicted_total,topgun_or_prune_restored_write_error_total,topgun_or_prune_bytes_freed_total,topgun_or_prune_epochs_drained_total,topgun_or_prune_empty_drains_total,topgun_or_prune_nonempty_drains_total,topgun_or_prune_lwm_advances_total,topgun_or_prune_lwm_epochs_advanced_total,topgun_or_prune_split_recomputes_total,topgun_or_prune_indexed_refs,topgun_or_prune_indexed_epochs,topgun_or_prune_eligible_refs,topgun_or_prune_ineligible_refs,topgun_or_prune_split_computed_epoch,topgun_or_prune_current_epoch,topgun_or_prune_low_water_mark,topgun_or_prune_durable_epoch_watermark,topgun_or_prune_last_drained_epoch,topgun_or_prune_lwm_stall_seconds,topgun_or_prune_tracked_claims,topgun_or_prune_drain_refs_sum,topgun_or_prune_drain_refs_count,topgun_or_prune_drain_epochs_sum,topgun_or_prune_drain_epochs_count,topgun_or_prune_claim_span_epochs_sum,topgun_or_prune_claim_span_epochs_count,topgun_or_prune_claim_lag_epochs_sum,topgun_or_prune_claim_lag_epochs_count,topgun_or_prune_epoch_considered_sum,topgun_or_prune_epoch_considered_count,topgun_or_prune_epoch_dropped_sum,topgun_or_prune_epoch_dropped_count,topgun_or_prune_epoch_bytes_freed_sum,topgun_or_prune_epoch_bytes_freed_count,topgun_ormap_tombstone_bytes_total,topgun_or_prune_drain_refs_p50
240,8001,7000,7000,0,0,0,0,0,145358,7,7994,7,9,9,16,1001,2,1000,886,9,10,9,8,8,28,1,7000,7,7,7,1,16,1,16,7000,7,7000,7,145358,7,166379,999.9447405703887
250,8390,7000,7000,0,0,0,0,0,145358,7,8383,7,10,10,17,1390,2,0,1045,10,10,10,8,8,8,1,7000,7,7,7,1,17,1,17,7000,7,7000,7,145358,7,174569,999.9447405703887
260,8780,7000,7000,0,0,0,0,0,145358,7,8773,7,10,10,17,1780,2,0,1045,10,10,10,8,8,18,1,7000,7,7,7,1,17,1,17,7000,7,7000,7,145358,7,182738,999.9447405703887
270,9042,7000,7000,0,0,0,0,0,145358,7,9035,7,11,11,19,1043,2,1000,1037,11,11,11,9,9,2,1,7000,7,7,7,1,19,1,19,7000,7,7000,7,145358,7,188261,999.9447405703887
280,9343,8000,8000,0,0,0,0,0,166358,8,9335,8,11,11,19,1343,2,1000,1037,11,11,11,9,9,12,1,8000,8,8,8,1,19,1,19,8000,8,8000,8,166358,8,194561,999.9447405703887
290,9583,8000,8000,0,0,0,0,0,166358,8,9575,8,11,11,20,584,1,1000,575,11,11,11,10,10,22,1,8000,8,8,8,1,20,1,20,8000,8,8000,8,166358,8,199622,999.9447405703887
300,9931,9000,9000,0,0,0,0,0,187358,9,9922,9,11,11,20,931,1,1000,575,11,11,11,10,10,32,1,9000,9,9,9,1,20,1,20,9000,9,9000,9,187358,9,206909,999.9447405703887
310,10195,9000,9000,0,0,0,0,0,187358,9,10186,9,12,12,21,1195,2,0,1023,12,12,12,10,10,4,1,9000,9,9,9,1,21,1,21,9000,9,9000,9,187358,9,212453,999.9447405703887
320,10538,9000,9000,0,0,0,0,0,187358,9,10529,9,12,12,21,1538,2,0,1023,12,12,12,10,10,12,1,9000,9,9,9,1,21,1,21,9000,9,9000,9,187358,9,219656,999.9447405703887
330,10754,10000,10000,0,0,0,0,0,208358,10,10744,10,12,12,22,754,1,1000,705,12,12,12,11,11,24,1,10000,10,10,10,1,22,1,22,10000,10,10000,10,208358,10,224192,999.9447405703887
340,11136,10000,10000,0,0,0,0,0,208358,10,11126,10,13,13,23,1136,2,0,1045,13,13,13,11,11,2,1,10000,10,10,10,1,23,1,23,10000,10,10000,10,208358,10,232214,999.9447405703887
350,11513,10000,10000,0,0,0,0,0,208358,10,11503,10,13,13,23,1513,2,0,1045,13,13,13,11,11,12,1,10000,10,10,10,1,23,1,23,10000,10,10000,10,208358,10,240131,999.9447405703887
360,11762,10000,10000,0,0,0,0,0,208358,10,11752,10,13,13,24,763,1,1000,756,13,13,13,12,12,22,1,10000,10,10,10,1,24,1,24,10000,10,10000,10,208358,10,245381,999.9447405703887
370,12082,11000,11000,0,0,0,0,0,229358,11,12071,11,14,14,25,1082,2,0,1018,14,14,14,12,12,0,1,11000,11,11,11,1,25,1,25,11000,11,11000,11,229358,11,252080,999.9447405703887
380,12468,11000,11000,0,0,0,0,0,229358,11,12457,11,14,14,25,1468,2,0,1018,14,14,14,12,12,12,1,11000,11,11,11,1,25,1,25,11000,11,11000,11,229358,11,260186,999.9447405703887
390,12837,11000,11000,0,0,0,0,0,229358,11,12826,11,14,14,25,1837,2,0,1018,14,14,14,12,12,22,1,11000,11,11,11,1,25,1,25,11000,11,11000,11,229358,11,267956,999.9447405703887
400,13063,12000,12000,0,0,0,0,0,250358,12,13051,12,15,15,27,1063,2,0,1049,15,15,15,13,13,0,1,12000,12,12,12,1,27,1,27,12000,12,12000,12,250358,12,272681,999.9447405703887
410,13446,12000,12000,0,0,0,0,0,250358,12,13434,12,15,15,27,1446,2,0,1049,15,15,15,13,13,10,1,12000,12,12,12,1,27,1,27,12000,12,12000,12,250358,12,280745,999.9447405703887
420,13730,12000,12000,0,0,0,0,0,250358,12,13718,12,15,15,28,731,1,1000,723,15,15,15,14,14,18,1,12000,12,12,12,1,28,1,28,12000,12,12000,12,250358,12,286709,999.9447405703887
430,14026,13000,13000,0,0,0,0,0,271358,13,14013,13,15,15,28,1026,2,1000,723,15,16,15,14,14,28,1,13000,13,13,13,1,28,1,28,13000,13,13000,13,271358,13,292904,999.9447405703887
440,14403,13000,13000,0,0,0,0,0,271358,13,14390,13,16,16,29,1403,2,0,1036,16,16,16,14,14,8,1,13000,13,13,13,1,29,1,29,13000,13,13000,13,271358,13,300821,999.9447405703887
450,14683,13000,13000,0,0,0,0,0,271358,13,14670,13,16,16,30,684,1,1000,680,16,16,16,15,15,20,1,13000,13,13,13,1,30,1,30,13000,13,13000,13,271358,13,306757,999.9447405703887
460,14988,14000,14000,0,0,0,0,0,292358,14,14974,14,16,16,30,988,1,1000,680,16,16,16,15,15,30,1,14000,14,14,14,1,30,1,30,14000,14,14000,14,292358,14,313445,999.9447405703887
470,15330,14000,14000,0,0,0,0,0,292358,14,15316,14,17,17,31,1330,2,0,1050,17,17,17,15,15,6,1,14000,14,14,14,1,31,1,31,14000,14,14000,14,292358,14,320969,999.9447405703887
480,15702,14000,14000,0,0,0,0,0,292358,14,15688,14,17,17,31,1702,2,0,1050,17,17,17,15,15,16,1,14000,14,14,14,1,31,1,31,14000,14,14000,14,292358,14,329153,999.9447405703887
490,15935,15000,15000,0,0,0,0,0,313709,15,15920,15,17,17,32,935,1,1000,818,17,17,17,16,16,26,1,15000,15,15,15,1,32,1,32,15000,15,15000,15,313709,15,334279,999.9447405703887
500,16313,15000,15000,0,0,0,0,0,313709,15,16298,15,18,18,33,1313,2,0,1020,18,18,18,16,16,6,1,15000,15,15,15,1,33,1,33,15000,15,15000,15,313709,15,342595,999.9447405703887
510,16696,15000,15000,0,0,0,0,0,313709,15,16681,15,18,18,33,1696,2,0,1020,18,18,18,16,16,18,1,15000,15,15,15,1,33,1,33,15000,15,15000,15,313709,15,351021,999.9447405703887
520,16990,15000,15000,0,0,0,0,0,313709,15,16975,15,18,18,34,991,1,1000,983,18,18,18,17,17,26,1,15000,15,15,15,1,34,1,34,15000,15,15000,15,313709,15,357511,999.9447405703887
530,17243,16000,16000,0,0,0,0,0,335709,16,17227,16,19,19,35,1243,2,0,1041,19,19,19,17,17,4,1,16000,16,16,16,1,35,1,35,16000,16,16000,16,335709,16,363055,999.9447405703887
540,17500,16000,16000,0,0,0,0,0,335709,16,17484,16,19,19,36,501,1,1000,494,19,19,19,18,18,14,1,16000,16,16,16,1,36,1,36,16000,16,16000,16,335709,16,368731,999.9447405703887
550,17834,17000,17000,0,0,0,0,0,357709,17,17817,17,19,19,36,834,1,1000,494,19,19,19,18,18,24,1,17000,17,17,17,1,36,1,36,17000,17,17000,17,357709,17,376057,999.9447405703887
560,18219,17000,17000,0,0,0,0,0,357709,17,18202,17,20,20,37,1219,2,0,1073,20,20,20,18,18,2,1,17000,17,17,17,1,37,1,37,17000,17,17000,17,357709,17,384527,999.9447405703887
570,18558,17000,17000,0,0,0,0,0,357709,17,18541,17,20,20,37,1558,2,0,1073,20,20,20,18,18,12,1,17000,17,17,17,1,37,1,37,17000,17,17000,17,357709,17,391985,999.9447405703887
580,18760,17000,17000,0,0,0,0,0,357709,17,18743,17,20,20,38,761,1,1000,757,20,20,20,19,19,22,1,17000,17,17,17,1,38,1,38,17000,17,17000,17,357709,17,396451,999.9447405703887
590,19121,18000,18000,0,0,0,0,0,379709,18,19103,18,21,21,39,1121,2,0,1073,21,21,21,19,19,0,1,18000,18,18,18,1,39,1,39,18000,18,18000,18,379709,18,404371,999.9447405703887
600,19491,18000,18000,0,0,0,0,0,379709,18,19473,18,21,21,39,1491,2,0,1073,21,21,21,19,19,10,1,18000,18,18,18,1,39,1,39,18000,18,18000,18,379709,18,412511,999.9447405703887
610,19625,18000,18000,0,0,0,0,0,379709,18,19607,18,21,21,40,626,1,1000,602,21,21,21,20,20,21,1,18000,18,18,18,1,40,1,40,18000,18,18000,18,379709,18,415481,999.9447405703887
620,19941,19000,19000,0,0,0,0,0,401709,19,19922,19,21,21,40,941,1,1000,602,21,21,21,20,20,31,1,19000,19,19,19,1,40,1,40,19000,19,19000,19,401709,19,422411,999.9447405703887
630,20320,19000,19000,0,0,0,0,0,401709,19,20301,19,22,22,41,1320,2,0,1093,22,22,22,20,20,6,1,19000,19,19,19,1,41,1,41,19000,19,19000,19,401709,19,430749,999.9447405703887
640,20694,19000,19000,0,0,0,0,0,401709,19,20675,19,22,22,41,1694,2,0,1093,22,22,22,20,20,16,1,19000,19,19,19,1,41,1,41,19000,19,19000,19,401709,19,438977,999.9447405703887
650,20907,20000,20000,0,0,0,0,0,423709,20,20887,20,22,22,42,907,1,1000,769,22,22,22,21,21,26,1,20000,20,20,20,1,42,1,42,20000,20,20000,20,423709,20,443663,999.9447405703887
660,21244,20000,20000,0,0,0,0,0,423709,20,21224,20,23,23,43,1244,2,0,1033,23,23,23,21,21,4,1,20000,20,20,20,1,43,1,43,20000,20,20000,20,423709,20,451077,999.9447405703887
670,21620,20000,20000,0,0,0,0,0,423709,20,21600,20,23,23,43,1620,2,0,1033,23,23,23,21,21,14,1,20000,20,20,20,1,43,1,43,20000,20,20000,20,423709,20,459349,999.9447405703887
680,21915,20000,20000,0,0,0,0,0,423709,20,21895,20,23,23,44,916,1,1000,905,23,23,23,22,22,26,1,20000,20,20,20,1,44,1,44,20000,20,20000,20,423709,20,465861,999.9447405703887
690,22200,21000,21000,0,0,0,0,0,445709,21,22179,21,24,24,45,1200,2,0,1042,24,24,24,22,22,4,1,21000,21,21,21,1,45,1,45,21000,21,21000,21,445709,21,472131,999.9447405703887
701,22564,21000,21000,0,0,0,0,0,445709,21,22543,21,24,24,45,1564,2,0,1042,24,24,24,22,22,14,1,21000,21,21,21,1,45,1,45,21000,21,21000,21,445709,21,480117,999.9447405703887
710,22894,21000,21000,0,0,0,0,0,445709,21,22873,21,24,24,45,1894,2,0,1042,24,24,24,22,22,22,1,21000,21,21,21,1,45,1,45,21000,21,21000,21,445709,21,487377,999.9447405703887
720,23098,22000,22000,0,0,0,0,0,467709,22,23076,22,25,25,47,1098,2,0,1043,25,25,25,23,23,4,1,22000,22,22,22,2,47,2,47,22000,22,22000,22,467709,22,491865,999.9447405703887
730,23474,22000,22000,0,0,0,0,0,467709,22,23452,22,25,25,47,1474,2,0,1043,25,25,25,23,23,16,1,22000,22,22,22,2,47,2,47,22000,22,22000,22,467709,22,500137,999.9447405703887
740,23673,22000,22000,0,0,0,0,0,467709,22,23651,22,25,25,48,674,1,1000,567,25,25,25,24,24,26,1,22000,22,22,22,2,48,2,48,22000,22,22000,22,467709,22,504559,999.9447405703887
750,24002,22000,22000,0,0,0,0,0,467709,22,23980,22,25,25,48,1003,2,1000,567,25,26,25,24,24,34,1,22000,22,22,22,2,48,2,48,22000,22,22000,22,467709,22,511775,999.9447405703887
760,24373,22000,22000,0,0,0,0,0,467709,22,24351,22,26,26,49,1374,2,0,1021,26,26,26,24,24,8,1,22000,22,22,22,2,49,2,49,22000,22,22000,22,467709,22,519937,999.9447405703887
770,24734,22000,22000,0,0,0,0,0,467709,22,24712,22,26,26,50,736,1,1000,731,26,26,26,25,25,19,1,22000,22,22,22,2,50,2,50,22000,22,22000,22,467709,22,527901,0
780,24953,23000,23000,0,0,0,0,0,489709,23,24930,23,26,26,50,954,1,1000,731,26,26,26,25,25,28,1,23000,23,23,23,2,50,2,50,23000,23,23000,23,489709,23,532697,999.9447405703887
790,25291,23000,23000,0,0,0,0,0,489709,23,25268,23,27,27,51,1292,2,0,1030,27,27,27,25,25,6,1,23000,23,23,23,2,51,2,51,23000,23,23000,23,489709,23,540155,999.9447405703887
800,25664,23000,23000,0,0,0,0,0,489709,23,25641,23,27,27,51,1665,2,0,1030,27,27,27,25,25,16,1,23000,23,23,23,2,51,2,51,23000,23,23000,23,489709,23,548339,999.9447405703887
810,25900,23000,23000,0,0,0,0,0,489709,23,25877,23,27,27,52,902,1,1000,889,27,27,27,26,26,26,1,23000,23,23,23,2,52,2,52,23000,23,23000,23,489709,23,553553,999.9447405703887
820,26231,23000,23000,0,0,0,0,0,489709,23,26208,23,28,28,53,1233,2,0,1025,28,28,28,26,26,4,1,23000,23,23,23,2,53,2,53,23000,23,23000,23,489709,23,560835,999.9447405703887
830,26601,23000,23000,0,0,0,0,0,489709,23,26578,23,28,28,53,1603,2,0,1025,28,28,28,26,26,14,1,23000,23,23,23,2,53,2,53,23000,23,23000,23,489709,23,568975,999.9447405703887
840,26924,23000,23000,0,0,0,0,0,489709,23,26901,23,28,28,53,1926,2,0,1025,28,28,28,26,26,24,1,23000,23,23,23,2,53,2,53,23000,23,23000,23,489709,23,576081,0
850,27141,24000,24000,0,0,0,0,0,511709,24,27117,24,29,29,55,1143,2,0,1036,29,29,29,27,27,6,1,24000,24,24,24,3,55,3,55,24000,24,24000,24,511709,24,580855,999.9447405703887
860,27517,24000,24000,0,0,0,0,0,511709,24,27493,24,29,29,55,1519,2,0,1036,29,29,29,27,27,16,1,24000,24,24,24,3,55,3,55,24000,24,24000,24,511709,24,589127,999.9447405703887
870,27725,25000,25000,0,0,0,0,0,533709,25,27700,25,29,29,56,727,1,1000,562,29,29,29,28,28,26,1,25000,25,25,25,3,56,3,56,25000,25,25000,25,533709,25,593725,999.9447405703887
880,28101,25000,25000,0,0,0,0,0,533709,25,28076,25,30,30,57,1103,2,0,1044,30,30,30,28,28,0,1,25000,25,25,25,3,57,3,57,25000,25,25000,25,533709,25,601975,999.9447405703887
890,28459,25000,25000,0,0,0,0,0,533709,25,28434,25,30,30,57,1461,2,0,1044,30,30,30,28,28,10,1,25000,25,25,25,3,57,3,57,25000,25,25000,25,533709,25,609851,999.9447405703887
900,28731,25000,25000,0,0,0,0,0,533709,25,28706,25,30,30,58,734,1,1000,726,30,30,30,29,29,20,1,25000,25,25,25,3,58,3,58,25000,25,25000,25,533709,25,615857,999.9447405703887
910,28981,26000,26000,0,0,0,0,0,555709,26,28955,26,30,30,58,983,1,1000,726,30,30,30,29,29,31,1,26000,26,26,26,3,58,3,58,26000,26,26000,26,555709,26,621335,999.9447405703887
920,29367,26000,26000,0,0,0,0,0,555709,26,29341,26,31,31,59,1369,2,0,1048,31,31,31,29,29,8,1,26000,26,26,26,3,59,3,59,26000,26,26000,26,555709,26,629827,999.9447405703887
930,29592,26000,26000,0,0,0,0,0,555709,26,29566,26,31,31,60,595,1,1000,590,31,31,31,30,30,18,1,26000,26,26,26,3,60,3,60,26000,26,26000,26,555709,26,634799,999.9447405703887
940,29990,27000,27000,0,0,0,0,0,577709,27,29963,27,31,31,60,992,1,1000,590,31,31,31,30,30,28,1,27000,27,27,27,3,60,3,60,27000,27,27000,27,577709,27,643533,999.9447405703887
950,30347,27000,27000,0,0,0,0,0,577709,27,30320,27,32,32,61,1349,2,0,1045,32,32,32,30,30,6,1,27000,27,27,27,3,61,3,61,27000,27,27000,27,577709,27,651387,999.9447405703887
960,30705,27000,27000,0,0,0,0,0,577709,27,30678,27,32,32,62,708,1,1000,703,32,32,32,31,31,16,1,27000,27,27,27,3,62,3,62,27000,27,27000,27,577709,27,659285,999.9447405703887
