elapsed_secs,render_class,identity_lhs,identity_rhs,identity_holds
10,CONSISTENT,0,390,0
20,CONSISTENT,0,783,0
31,CONSISTENT,1000,1187,0
40,CONSISTENT,1000,1537,0
50,CONSISTENT,0,851,0
60,CONSISTENT,1000,1244,0
70,CONSISTENT,1000,1630,0
80,CONSISTENT,0,957,0
90,CONSISTENT,1000,1251,0
100,CONSISTENT,0,553,0
110,TORN,0,895,
120,CONSISTENT,1000,1237,0
130,CONSISTENT,1000,1608,0
140,CONSISTENT,0,870,0
150,CONSISTENT,1000,1254,0
160,CONSISTENT,1000,1608,0
170,CONSISTENT,1000,1994,0
180,CONSISTENT,1000,1263,0
190,CONSISTENT,1000,1609,0
200,TORN,0,847,
210,CONSISTENT,1000,1234,0
220,CONSISTENT,1000,1612,0
230,CONSISTENT,0,848,0
240,CONSISTENT,1000,1204,0
250,CONSISTENT,1000,1589,0
260,CONSISTENT,1000,1976,0
270,TORN,1000,1178,
280,CONSISTENT,1000,1553,0
290,CONSISTENT,0,796,0
300,CONSISTENT,1000,1168,0
310,CONSISTENT,1000,1414,0
320,CONSISTENT,0,657,0
330,CONSISTENT,1000,1037,0
340,CONSISTENT,1000,1385,0
350,CONSISTENT,1000,1754,0
360,TORN,0,990,
370,CONSISTENT,1000,1330,0
380,CONSISTENT,1000,1711,0
390,CONSISTENT,1000,1008,0
400,TORN,1000,1339,
410,CONSISTENT,0,544,0
420,TORN,0,924,
430,CONSISTENT,1000,1303,0
440,CONSISTENT,1000,1651,0
450,TORN,0,878,
460,CONSISTENT,1000,1262,0
470,CONSISTENT,1000,1611,0
480,CONSISTENT,0,884,0
490,TORN,1000,1225,
501,CONSISTENT,1000,1607,0
510,CONSISTENT,1000,1948,0
520,CONSISTENT,1000,1192,0
530,CONSISTENT,0,561,0
540,CONSISTENT,0,763,0
550,CONSISTENT,1000,1146,0
560,CONSISTENT,1000,1523,0
570,CONSISTENT,0,756,0
580,CONSISTENT,1000,1109,0
590,TORN,1000,1496,
600,CONSISTENT,1000,1880,0
610,CONSISTENT,1000,1004,0
620,CONSISTENT,1000,1370,0
