elapsed_secs,topgun_or_prune_passes_total,topgun_or_prune_considered_total,topgun_or_prune_dropped_total,topgun_or_prune_matched_nothing_total,topgun_or_prune_absent_total,topgun_or_prune_restored_read_error_total,topgun_or_prune_restored_evicted_total,topgun_or_prune_restored_write_error_total,topgun_or_prune_bytes_freed_total,topgun_or_prune_epochs_drained_total,topgun_or_prune_empty_drains_total,topgun_or_prune_nonempty_drains_total,topgun_or_prune_lwm_advances_total,topgun_or_prune_lwm_epochs_advanced_total,topgun_or_prune_split_recomputes_total,topgun_or_prune_indexed_refs,topgun_or_prune_indexed_epochs,topgun_or_prune_eligible_refs,topgun_or_prune_ineligible_refs,topgun_or_prune_split_computed_epoch,topgun_or_prune_current_epoch,topgun_or_prune_low_water_mark,topgun_or_prune_durable_epoch_watermark,topgun_or_prune_last_drained_epoch,topgun_or_prune_lwm_stall_seconds,topgun_or_prune_tracked_claims,topgun_or_prune_drain_refs_sum,topgun_or_prune_drain_refs_count,topgun_or_prune_drain_epochs_sum,topgun_or_prune_drain_epochs_count,topgun_or_prune_claim_span_epochs_sum,topgun_or_prune_claim_span_epochs_count,topgun_or_prune_claim_lag_epochs_sum,topgun_or_prune_claim_lag_epochs_count,topgun_or_prune_epoch_considered_sum,topgun_or_prune_epoch_considered_count,topgun_or_prune_epoch_dropped_sum,topgun_or_prune_epoch_dropped_count,topgun_or_prune_epoch_bytes_freed_sum,topgun_or_prune_epoch_bytes_freed_count,topgun_ormap_tombstone_bytes_total,topgun_or_prune_drain_refs_p50,topgun_or_prune_stamped_refs_total_a,topgun_or_prune_stamped_refs_total_b,topgun_or_prune_stamped_bytes_total_a,topgun_or_prune_stamped_bytes_total_b,topgun_or_prune_drained_refs_total_a,topgun_or_prune_drained_refs_total_b,topgun_or_prune_restored_refs_total_a,topgun_or_prune_restored_refs_total_b,topgun_or_prune_rebuild_cleared_refs_total_a,topgun_or_prune_rebuild_cleared_refs_total_b,topgun_or_prune_epochs_entered_total_a,topgun_or_prune_epochs_entered_total_b,topgun_or_prune_epochs_exited_total_a,topgun_or_prune_epochs_exited_total_b,topgun_or_prune_indexed_refs_a,topgun_or_prune_indexed_refs_b,o0_tear_class
25210,737276,99000,99000,0,0,0,0,0,2219715,99,737177,99,739,739,1476,914,1,1000,461,739,739,739,738,738,43,1,99000,99,99,99,5,1476,5,1476,99000,99,99000,99,2219715,99,16809650,0,737000,737000,16788605,16788605,737000,737000,0,0,0,0,738,738,737,737,915,915,CONSISTENT
25220,737557,99000,99000,0,0,0,0,0,2219715,99,737458,99,740,740,1477,1195,2,0,1024,740,740,740,738,738,6,1,99000,99,99,99,5,1477,5,1477,99000,99,99000,99,2219715,99,16816113,0,738000,738000,16811605,16811605,737000,737000,0,0,0,0,739,739,737,737,1197,1197,CONSISTENT
25230,737839,99000,99000,0,0,0,0,0,2219715,99,737740,99,740,740,1477,1477,2,0,1024,740,740,740,738,738,16,1,99000,99,99,99,5,1477,5,1477,99000,99,99000,99,2219715,99,16822576,0,738000,738000,16811605,16811605,737000,737000,0,0,0,0,739,739,737,737,1477,1477,CONSISTENT
25240,737975,99000,99000,0,0,0,0,0,2219715,99,737876,99,740,740,1478,614,1,1000,607,740,740,740,739,739,26,1,99000,99,99,99,5,1478,5,1478,99000,99,99000,99,2219715,99,16825727,0,738000,738000,16811605,16811605,738000,738000,0,0,0,0,739,739,738,738,615,615,CONSISTENT
25250,738230,99000,99000,0,0,0,0,0,2219715,99,738131,99,740,740,1478,869,1,1000,607,740,740,740,739,739,36,1,99000,99,99,99,5,1478,5,1478,99000,99,99000,99,2219715,99,16831592,0,738000,738000,16811605,16811605,738000,738000,0,0,0,0,739,739,738,738,869,869,CONSISTENT
25261,738481,99000,99000,0,0,0,0,0,2219715,99,738382,99,741,741,1479,1120,2,0,1004,741,741,741,739,739,4,1,99000,99,99,99,5,1479,5,1479,99000,99,99000,99,2219715,99,16837388,0,739000,739000,16834605,16834605,738000,738000,0,0,0,0,740,740,738,738,1121,1121,CONSISTENT
25270,738698,99000,99000,0,0,0,0,0,2219715,99,738599,99,741,741,1479,1337,2,0,1004,741,741,741,739,739,13,1,99000,99,99,99,5,1479,5,1479,99000,99,99000,99,2219715,99,16842356,0,739000,739000,16834605,16834605,738000,738000,0,0,0,0,740,740,738,738,1337,1337,CONSISTENT
25280,738848,99000,99000,0,0,0,0,0,2219715,99,738749,99,741,741,1480,488,1,1000,478,741,741,741,740,740,23,1,99000,99,99,99,5,1480,5,1480,99000,99,99000,99,2219715,99,16845829,0,739000,739000,16834605,16834605,739000,739000,0,0,0,0,740,740,739,739,488,488,CONSISTENT
25290,739098,99000,99000,0,0,0,0,0,2219715,99,738999,99,741,741,1480,738,1,1000,478,741,741,741,740,740,33,1,99000,99,99,99,5,1480,5,1480,99000,99,99000,99,2219715,99,16851579,0,739000,739000,16834605,16834605,739000,739000,0,0,0,0,740,740,739,739,740,740,CONSISTENT
25300,739376,99000,99000,0,0,0,0,0,2219715,99,739277,99,741,741,1480,1016,2,1000,478,741,742,741,740,740,43,1,99000,99,99,99,5,1480,5,1480,99000,99,99000,99,2219715,99,16857973,0,740000,740000,16857605,16857605,739000,739000,0,0,0,0,741,741,739,739,1017,1017,CONSISTENT
25310,739616,99000,99000,0,0,0,0,0,2219715,99,739517,99,742,742,1481,1256,2,0,1027,742,742,742,740,740,8,1,99000,99,99,99,5,1481,5,1481,99000,99,99000,99,2219715,99,16863516,0,740000,740000,16857605,16857605,739000,739000,0,0,0,0,741,741,739,739,1257,1257,CONSISTENT
25320,739820,99000,99000,0,0,0,0,0,2219715,99,739721,99,742,742,1482,461,1,1000,457,742,742,742,741,741,18,1,99000,99,99,99,5,1482,5,1482,99000,99,99000,99,2219715,99,16868208,0,740000,740000,16857605,16857605,740000,740000,0,0,0,0,741,741,740,740,461,461,CONSISTENT
25330,740008,99000,99000,0,0,0,0,0,2219715,99,739909,99,742,742,1482,649,1,1000,457,742,742,742,741,741,28,1,99000,99,99,99,5,1482,5,1482,99000,99,99000,99,2219715,99,16872532,0,740000,740000,16857605,16857605,740000,740000,0,0,0,0,741,741,740,740,649,649,CONSISTENT
25340,740271,99000,99000,0,0,0,0,0,2219715,99,740172,99,742,742,1482,912,1,1000,457,742,742,742,741,741,39,1,99000,99,99,99,5,1482,5,1482,99000,99,99000,99,2219715,99,16878581,0,740000,740000,16857605,16857605,740000,740000,0,0,0,0,741,741,740,740,914,915,TORN-PERSISTENT
25350,740530,99000,99000,0,0,0,0,0,2219715,99,740431,99,743,743,1483,1171,2,0,1008,743,743,743,741,741,6,1,99000,99,99,99,5,1483,5,1483,99000,99,99000,99,2219715,99,16884538,0,741000,741000,16880605,16880605,740000,740000,0,0,0,0,742,742,740,740,1171,1171,CONSISTENT
25360,740723,99000,99000,0,0,0,0,0,2219715,99,740624,99,743,743,1484,365,1,1000,358,743,743,743,742,742,14,1,99000,99,99,99,5,1484,5,1484,99000,99,99000,99,2219715,99,16889000,0,741000,741000,16880605,16880605,741000,741000,0,0,0,0,742,742,741,741,365,365,CONSISTENT
25370,740912,99000,99000,0,0,0,0,0,2219715,99,740813,99,743,743,1484,554,1,1000,358,743,743,743,742,742,24,1,99000,99,99,99,5,1484,5,1484,99000,99,99000,99,2219715,99,16893347,0,741000,741000,16880605,16880605,741000,741000,0,0,0,0,742,742,741,741,554,554,CONSISTENT
25380,741169,99000,99000,0,0,0,0,0,2219715,99,741070,99,743,743,1484,811,1,1000,358,743,743,743,742,742,36,1,99000,99,99,99,5,1484,5,1484,99000,99,99000,99,2219715,99,16899258,0,741000,741000,16880605,16880605,741000,741000,0,0,0,0,742,742,741,741,813,814,TORN-PERSISTENT
25390,741438,99000,99000,0,0,0,0,0,2219715,99,741339,99,744,744,1485,1080,2,0,1020,744,744,744,742,742,2,1,99000,99,99,99,5,1485,5,1485,99000,99,99000,99,2219715,99,16905445,0,742000,742000,16903605,16903605,741000,741000,0,0,0,0,743,743,741,741,1081,1081,CONSISTENT
25400,741713,99000,99000,0,0,0,0,0,2219715,99,741614,99,744,744,1485,1355,2,0,1020,744,744,744,742,742,12,1,99000,99,99,99,5,1485,5,1485,99000,99,99000,99,2219715,99,16911816,0,742000,742000,16903605,16903605,741000,741000,0,0,0,0,743,743,741,741,1358,1358,CONSISTENT
25410,741941,99000,99000,0,0,0,0,0,2219715,99,741842,99,744,744,1486,584,1,1000,576,744,744,744,743,743,21,1,99000,99,99,99,5,1486,5,1486,99000,99,99000,99,2219715,99,16917037,0,742000,742000,16903605,16903605,742000,742000,0,0,0,0,743,743,742,742,584,584,CONSISTENT
25420,742097,99000,99000,0,0,0,0,0,2219715,99,741998,99,744,744,1486,740,1,1000,576,744,744,744,743,743,31,1,99000,99,99,99,5,1486,5,1486,99000,99,99000,99,2219715,99,16920625,0,742000,742000,16903605,16903605,742000,742000,0,0,0,0,743,743,742,742,742,743,TORN-PERSISTENT
25430,742364,99000,99000,0,0,0,0,0,2219715,99,742265,99,744,744,1486,1007,2,1000,576,744,745,744,743,743,41,1,99000,99,99,99,5,1486,5,1486,99000,99,99000,99,2219715,99,16926766,0,743000,743000,16926605,16926605,742000,742000,0,0,0,0,744,744,742,742,1007,1007,CONSISTENT
25440,742550,99000,99000,0,0,0,0,0,2219715,99,742451,99,745,745,1488,194,1,1000,189,745,745,745,744,744,8,1,99000,99,99,99,5,1488,5,1488,99000,99,99000,99,2219715,99,16931067,0,743000,743000,16926605,16926605,743000,743000,0,0,0,0,744,744,743,743,194,194,CONSISTENT
25451,742763,99000,99000,0,0,0,0,0,2219715,99,742664,99,745,745,1488,407,1,1000,189,745,745,745,744,744,18,1,99000,99,99,99,5,1488,5,1488,99000,99,99000,99,2219715,99,16935966,0,743000,743000,16926605,16926605,743000,743000,0,0,0,0,744,744,743,743,410,410,CONSISTENT
25460,742986,99000,99000,0,0,0,0,0,2219715,99,742887,99,745,745,1488,630,1,1000,189,745,745,745,744,744,28,1,99000,99,99,99,5,1488,5,1488,99000,99,99000,99,2219715,99,16941095,0,743000,743000,16926605,16926605,743000,743000,0,0,0,0,744,744,743,743,634,634,CONSISTENT
25470,743238,99000,99000,0,0,0,0,0,2219715,99,743139,99,745,745,1488,882,1,1000,189,745,745,745,744,744,38,1,99000,99,99,99,5,1488,5,1488,99000,99,99000,99,2219715,99,16946891,0,743000,743000,16926605,16926605,743000,743000,0,0,0,0,744,744,743,743,882,882,CONSISTENT
25480,743483,99000,99000,0,0,0,0,0,2219715,99,743384,99,746,746,1489,1127,2,0,1034,746,746,746,744,744,4,1,99000,99,99,99,5,1489,5,1489,99000,99,99000,99,2219715,99,16952549,0,744000,744000,16949605,16949605,743000,743000,0,0,0,0,745,745,743,743,1128,1128,CONSISTENT
25490,743733,99000,99000,0,0,0,0,0,2219715,99,743634,99,746,746,1489,1377,2,0,1034,746,746,746,744,744,14,1,99000,99,99,99,5,1489,5,1489,99000,99,99000,99,2219715,99,16958276,0,744000,744000,16949605,16949605,743000,743000,0,0,0,0,745,745,743,743,1377,1377,CONSISTENT
25500,743850,99000,99000,0,0,0,0,0,2219715,99,743751,99,746,746,1490,495,1,1000,388,746,746,746,745,745,22,1,99000,99,99,99,5,1490,5,1490,99000,99,99000,99,2219715,99,16961013,0,744000,744000,16949605,16949605,744000,744000,0,0,0,0,745,745,744,744,496,496,CONSISTENT
25510,744028,99000,99000,0,0,0,0,0,2219715,99,743929,99,746,746,1490,673,1,1000,388,746,746,746,745,745,33,1,99000,99,99,99,5,1490,5,1490,99000,99,99000,99,2219715,99,16965084,0,744000,744000,16949605,16949605,744000,744000,0,0,0,0,745,745,744,744,673,673,CONSISTENT
25520,744304,99000,99000,0,0,0,0,0,2219715,99,744205,99,746,746,1490,949,1,1000,388,746,746,746,745,745,43,1,99000,99,99,99,5,1490,5,1490,99000,99,99000,99,2219715,99,16971432,0,744000,744000,16949605,16949605,744000,744000,0,0,0,0,745,745,744,744,951,952,TORN-PERSISTENT
25530,744566,99000,99000,0,0,0,0,0,2219715,99,744467,99,747,747,1491,1211,2,0,1043,747,747,747,745,745,6,1,99000,99,99,99,5,1491,5,1491,99000,99,99000,99,2219715,99,16977481,0,745000,745000,16972605,16972605,744000,744000,0,0,0,0,746,746,744,744,1212,1212,CONSISTENT
25541,744822,99000,99000,0,0,0,0,0,2219715,99,744723,99,747,747,1491,1468,2,0,1043,747,747,747,745,745,16,1,99000,99,99,99,5,1491,5,1491,99000,99,99000,99,2219715,99,16983369,0,745000,745000,16972605,16972605,744000,744000,0,0,0,0,746,746,744,744,1471,1471,CONSISTENT
25550,744936,99000,99000,0,0,0,0,0,2219715,99,744837,99,747,747,1492,582,1,1000,516,747,747,747,746,746,24,1,99000,99,99,99,5,1492,5,1492,99000,99,99000,99,2219715,99,16985991,0,745000,745000,16972605,16972605,745000,745000,0,0,0,0,746,746,745,745,583,583,CONSISTENT
25560,745190,99000,99000,0,0,0,0,0,2219715,99,745091,99,747,747,1492,836,1,1000,516,747,747,747,746,746,34,1,99000,99,99,99,5,1492,5,1492,99000,99,99000,99,2219715,99,16991833,0,745000,745000,16972605,16972605,745000,745000,0,0,0,0,746,746,745,745,837,837,CONSISTENT
