elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes,phys_footprint_mb,phys_footprint_peak_mb,reclaimable_mb,compressed_mb,conj_snapshots_total,conj_current_epoch,conj_ceiling,conj_durable_watermark,durable_watermark_lag,claims,claim_lag_p50,claim_lag_p99,claim_lag_max,ret_epochs_claim_only,ret_epochs_durability_only,ret_epochs_both,ret_epochs_neither,ret_refs_claim_only,ret_refs_durability_only,ret_refs_both,ret_refs_neither,ret_stamped_bytes,ret_epochs_unslotted,ret_refs_open_epoch,ret_stamped_bytes_open_epoch,indexed_refs,considered_total,dropped_total,matched_nothing_total,absent_total,bytes_freed_total,removed_refs_observed_total,removed_bytes_observed_total,stamped_bytes_total,clean_mb,alloc_live_bytes,alloc_live_mb,alloc_probe_elapsed_s,alloc_probe_seq,je_allocated,je_active,je_resident,je_retained,je_mapped,je_metadata,je_probe_elapsed_s,je_probe_seq,bytes_alloc,bytes_dealloc
0,15.938,0.211,1.516,1.719,108,9.954,9.954,0.000,0.000,2,2,1,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,6,108,6,0,0,0,0,0,0,0,0,6.359,91100,0.087,0,1,,,,,,,,,92120,1020
60,40.656,2.910,1.516,4.430,42876,31.610,31.610,2.391,0.000,14,4,4,0,4,1,0,0,0,0,2,0,0,0,2000,0,0,40356,0,120,2520,2120,0,0,0,0,0,0,0,40356,6.469,19180504,18.292,60,3,,,,,,,,,729616686,710436182
120,55.078,2.992,2.520,5.512,26964,36.391,38.063,11.766,0.000,28,6,6,4,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,284,5964,1284,3000,3000,0,0,61356,3000,61356,82356,6.625,22653583,21.604,120,5,,,,,,,,,1837334353,1814680770
180,65.078,3.055,2.520,5.574,28938,40.719,42.547,17.453,0.000,40,8,8,6,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,378,7938,1378,5000,5000,0,0,103356,5000,103356,124356,6.625,25910702,24.710,180,7,,,,,,,,,3133454032,3107543330
240,78.281,3.199,4.527,7.727,30954,47.922,48.625,23.406,0.000,53,10,10,8,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,474,9954,1474,7000,7000,0,0,145356,7000,145356,166356,6.641,30161085,28.764,240,9,,,,,,,,,4689873747,4659712662
300,89.438,3.266,4.527,7.797,33663,48.813,50.485,33.859,0.000,66,12,12,10,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,603,12663,1603,9000,9000,0,0,187356,9000,187356,208356,6.641,32706020,31.191,300,11,,,,,,,,,6475054654,6442348634
360,104.219,3.254,4.527,7.777,33243,53.126,54.625,44.156,0.000,79,14,14,12,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,583,12243,1583,11000,11000,0,0,229356,11000,229356,250356,6.859,35685124,34.032,360,13,,,,,,,,,8411069607,8375384483
420,116.938,3.156,8.543,11.699,36389,50.985,60.376,60.391,0.000,92,16,16,14,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,729,15389,1729,13000,13000,0,0,271356,13000,271356,292356,6.859,41630938,39.702,420,15,,,,,,,,,10671336243,10629705305
480,128.453,3.223,8.543,11.762,40678,51.516,60.376,69.797,0.000,105,18,18,16,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,849,18678,1849,15000,15000,0,0,313707,15000,313707,335707,6.859,44726342,42.654,480,17,,,,,,,,,13197779179,13153052837
540,146.750,3.172,8.543,11.715,42790,50.907,62.610,88.719,0.000,118,20,20,18,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,945,20790,1945,17000,17000,0,0,357707,17000,357707,379707,6.859,46665553,44.504,540,19,,,,,,,,,15935579395,15888913842
600,171.734,3.273,8.543,11.812,45496,65.047,65.047,99.766,0.000,131,23,23,20,3,1,0,0,0,0,2,0,0,0,2000,0,0,44000,0,68,1496,2068,19000,19000,0,0,401707,19000,401707,445707,6.859,47464828,45.266,570,20,,,,,,,,,17752906185,17705441357
660,228.422,3.293,8.543,11.836,24508,101.469,101.469,119.969,0.000,144,25,25,23,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,114,2508,1114,22000,22000,0,0,467707,22000,467707,489707,6.859,52701092,50.260,660,23,,,,,,,,,22456981060,22404279968
720,283.938,3.324,8.543,11.867,27478,138.626,138.626,138.516,0.000,157,27,27,25,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,249,5478,1249,24000,24000,0,0,511707,24000,511707,533707,6.859,54927712,52.383,720,25,,,,,,,,,25996172321,25941244609
780,350.672,3.242,8.543,11.785,31108,169.157,172.438,174.562,0.000,170,29,29,27,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,413,9086,1413,26000,26000,0,0,555707,26000,555707,577707,6.859,60909555,58.088,780,27,,,,,,,,,29768707472,29707797917
840,412.156,3.234,16.574,19.812,33946,203.626,216.454,202.000,0.000,183,31,31,29,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,543,11946,1543,28000,28000,0,0,599707,28000,599707,621707,6.859,68130048,64.974,840,29,,,,,,,,,33813260279,33745130231
