epoch,entered_index,stamped_bytes,refs_at_entry,has_exit_row,exit_kind_variant,unclassified_exit,class_a,class_b,class_c,class_d,class_e,class_f
90,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
91,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
92,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
93,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
94,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
95,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
96,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
97,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
98,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
99,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
100,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
101,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
102,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
103,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
104,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
105,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
106,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
107,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
108,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
109,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
110,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
111,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
112,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
113,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
114,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
115,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
116,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
117,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
118,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
119,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
120,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
121,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
122,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
123,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
124,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
125,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
126,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
127,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
128,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
129,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
130,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
131,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
132,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
133,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
134,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
135,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
136,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
137,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
138,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
139,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
140,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
141,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
142,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
143,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
144,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
145,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
146,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
147,true,22000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
148,true,22908,1000,true,"drainedByPrune",0,0,0,1,0,0,0
149,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
150,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
151,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
152,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
153,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
154,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
155,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
156,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
157,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
158,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
159,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
160,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
161,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
162,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
163,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
164,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
165,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
166,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
167,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
168,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
169,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
170,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
171,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
172,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
173,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
174,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
175,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
176,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
177,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
178,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
179,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
180,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
181,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
182,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
183,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
184,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
185,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
186,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
187,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
188,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
189,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
190,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
191,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
192,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
193,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
194,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
195,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
196,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
197,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
198,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
199,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
200,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
201,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
202,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
203,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
204,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
205,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
206,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
207,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
208,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
209,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
