elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes,phys_footprint_mb,phys_footprint_peak_mb,reclaimable_mb,compressed_mb,conj_snapshots_total,conj_current_epoch,conj_ceiling,conj_durable_watermark,durable_watermark_lag,claims,claim_lag_p50,claim_lag_p99,claim_lag_max,ret_epochs_claim_only,ret_epochs_durability_only,ret_epochs_both,ret_epochs_neither,ret_refs_claim_only,ret_refs_durability_only,ret_refs_both,ret_refs_neither,ret_stamped_bytes,ret_epochs_unslotted,ret_refs_open_epoch,ret_stamped_bytes_open_epoch,indexed_refs,considered_total,dropped_total,matched_nothing_total,absent_total,bytes_freed_total,removed_refs_observed_total,removed_bytes_observed_total,stamped_bytes_total,clean_mb
11160,8471.438,3.152,129.027,132.180,43355,6081.010,6081.010,2395.344,5.453,2416,402,402,400,2,1,0,0,0,0,1,0,0,0,1000,0,0,23000,0,885,20355,1885,399000,399000,0,0,9014358,399000,9014358,9037358,6.516
11220,8442.547,3.406,129.027,132.434,32959,6145.853,6145.853,2301.609,5.453,2429,405,405,403,2,1,0,0,0,0,1,0,0,0,1000,0,0,23000,0,193,4439,1193,401000,401000,0,0,9060358,402000,9083358,9106358,6.516
11280,8398.969,3.551,129.027,132.578,35052,6207.447,6207.447,2196.422,5.422,2442,407,407,405,2,1,0,0,0,0,1,0,0,0,1000,0,0,23000,0,524,12052,1524,404000,404000,0,0,9129358,404000,9129358,9152358,6.516
11340,8329.281,3.387,129.027,132.414,23345,6227.728,6227.728,2106.438,5.406,2455,409,409,408,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,857,19711,857,406000,406000,0,0,9175358,407000,9198358,9198358,6.516
11400,8287.172,3.480,129.027,132.508,27232,6289.885,6289.885,2002.188,5.406,2467,412,412,410,2,1,0,0,0,0,1,0,0,0,1000,0,0,23000,0,184,4232,1184,409000,409000,0,0,9244358,409000,9244358,9267358,6.516
11460,8333.953,3.371,129.027,132.398,31993,6336.650,6336.650,2002.188,5.406,2480,414,414,412,2,1,0,0,0,0,1,0,0,0,1000,0,0,23000,0,391,8993,1391,411000,411000,0,0,9290358,411000,9290358,9313358,6.516
11520,8379.109,3.328,129.027,132.355,39445,6381.806,6381.806,2002.188,5.391,2493,416,416,414,2,1,0,0,0,0,1,0,0,0,1000,0,0,23000,0,715,16445,1715,413000,413000,0,0,9336358,413000,9336358,9359358,6.516
11580,8423.078,3.301,129.027,132.328,23874,6425.760,6425.760,2002.188,5.391,2506,419,418,417,2,1,1,1,1,0,0,1,0,0,0,1000,0,23000,0,38,874,1038,416000,416000,0,0,9405358,416000,9405358,9428358,6.516
11640,8487.797,3.227,129.027,132.254,31211,6490.494,6490.494,2002.188,5.391,2519,421,421,419,2,1,0,0,0,0,1,0,0,0,1000,0,0,23000,0,357,8211,1357,418000,418000,0,0,9451358,418000,9451358,9474358,6.516
11700,8457.938,3.266,129.027,132.293,38019,6557.963,6557.963,1904.859,5.391,2532,423,423,421,2,1,0,0,0,0,1,0,0,0,1000,0,0,23000,0,653,15019,1653,420000,420000,0,0,9497358,420000,9497358,9520358,6.516
11760,8400.219,3.320,129.027,132.359,19941,6599.463,6599.463,1805.641,5.391,2545,425,425,424,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,867,19941,867,423000,423000,0,0,9566358,423000,9566358,9566358,6.516
