elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes,phys_footprint_mb,phys_footprint_peak_mb,reclaimable_mb,compressed_mb,conj_snapshots_total,conj_current_epoch,conj_ceiling,conj_durable_watermark,durable_watermark_lag,claims,claim_lag_p50,claim_lag_p99,claim_lag_max,ret_epochs_claim_only,ret_epochs_durability_only,ret_epochs_both,ret_epochs_neither,ret_refs_claim_only,ret_refs_durability_only,ret_refs_both,ret_refs_neither,ret_stamped_bytes,ret_epochs_unslotted,ret_refs_open_epoch,ret_stamped_bytes_open_epoch,indexed_refs,considered_total,dropped_total,matched_nothing_total,absent_total,bytes_freed_total,removed_refs_observed_total,removed_bytes_observed_total,stamped_bytes_total,clean_mb
0,14.406,0.055,1.516,1.570,0,8.657,8.657,0.000,0.000,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.062
60,40.641,3.191,1.516,4.727,28963,30.813,32.391,3.406,0.000,15,4,4,2,2,1,0,0,0,0,1,0,0,0,1000,0,0,20531,0,151,3171,1152,0,0,0,0,0,1000,19820,40351,6.234
120,54.484,3.238,2.520,5.758,28476,39.329,39.329,8.625,0.000,27,6,6,4,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,356,7476,1356,3000,3000,0,0,61351,3000,61351,82351,6.297
181,66.547,3.332,2.520,5.852,28140,47.016,47.016,13.000,0.000,41,8,8,6,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,340,7140,1340,5000,5000,0,0,103351,5000,103351,124351,6.297
240,106.328,3.316,4.527,7.840,26817,77.219,77.219,23.078,0.000,54,10,10,8,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,277,5817,1277,7000,7000,0,0,145351,7000,145351,166351,6.297
300,145.812,3.246,4.527,7.777,31227,88.407,94.047,52.234,0.000,66,12,12,10,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,203,4263,1203,8000,8000,0,0,166351,9000,187351,208351,6.297
360,190.844,3.137,4.527,7.660,37590,112.704,112.704,71.438,0.000,79,14,14,12,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,102,2142,1102,10000,10000,0,0,208351,11000,229351,250351,6.516
420,224.203,3.344,8.543,11.875,42840,120.454,121.735,97.078,0.000,92,16,16,13,3,1,0,0,0,0,2,0,0,0,2000,0,0,42000,0,40,840,2040,12000,12000,0,0,250351,12000,250351,292351,6.516
480,267.969,3.352,8.543,11.887,42649,144.110,152.907,117.188,0.000,105,17,17,15,2,1,0,0,0,0,1,0,0,0,1000,0,0,21353,0,967,21274,1967,14000,14000,0,0,292351,14000,292351,313704,6.516
540,318.609,3.395,8.543,11.938,40964,174.985,174.985,137.875,0.000,118,19,19,17,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,862,18964,1862,16000,16000,0,0,335704,16000,335704,357704,6.516
600,365.750,3.219,8.543,11.762,24596,168.876,177.751,190.312,0.000,131,21,21,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,791,17402,791,18000,18000,0,0,379704,19000,401704,401704,6.516
661,405.125,3.398,8.543,11.945,35882,186.923,195.501,212.422,0.000,144,23,23,21,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,630,13860,1630,20000,20000,0,0,423704,20000,423704,445704,6.516
720,447.125,3.457,8.543,12.000,34166,208.360,208.360,232.406,0.000,157,25,25,23,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,553,12166,1553,22000,22000,0,0,467704,22000,467704,489704,6.516
780,509.250,3.441,8.543,11.996,33418,246.970,246.970,257.297,0.000,170,27,27,25,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,519,11418,1519,24000,24000,0,0,511704,24000,511704,533704,6.516
840,605.984,3.297,16.574,19.875,30316,293.595,293.595,307.844,0.000,183,29,29,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,776,17072,776,26000,26000,0,0,555704,27000,577704,577704,6.516
900,708.562,3.312,16.574,19.887,22154,359.001,359.001,343.109,0.000,196,32,31,30,2,1,1,1,1,0,0,1,0,0,0,1000,0,22000,0,7,154,1007,29000,29000,0,0,621704,29000,621704,643704,6.516
960,787.359,3.426,16.574,20.000,25740,347.392,359.001,433.812,0.000,209,34,34,32,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,170,3740,1170,31000,31000,0,0,665704,31000,665704,687704,6.516
1020,885.391,3.332,16.574,19.910,30844,354.704,413.595,524.688,0.000,222,36,36,34,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,401,8822,1401,33000,33000,0,0,709704,33000,709704,731704,6.516
1080,983.625,3.363,16.574,19.941,36080,410.001,451.360,567.859,0.000,235,38,38,36,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,640,14080,1640,35000,35000,0,0,753704,35000,753704,775704,6.516
1140,1097.234,3.379,16.574,19.949,43384,445.423,486.454,645.875,0.000,248,40,40,38,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,972,21384,1972,37000,37000,0,0,797704,37000,797704,819704,6.516
1201,1192.922,3.246,16.574,19.820,48180,498.329,503.345,688.391,0.000,261,43,43,40,3,1,0,0,0,0,2,0,0,0,2000,0,0,44000,0,190,4180,2190,39000,39000,0,0,841704,39000,841704,885704,6.516
1260,1290.984,3.348,16.574,19.926,33506,508.892,533.267,776.781,0.000,274,45,45,43,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,288,6336,1288,41000,41000,0,0,885704,42000,907704,929704,6.516
1320,1417.922,3.520,16.574,20.094,33704,592.673,592.673,819.641,0.000,287,47,47,45,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,532,11704,1532,44000,44000,0,0,951704,44000,951704,973704,6.516
1380,1565.375,3.523,16.574,20.094,40788,649.314,649.314,910.375,0.000,300,49,49,47,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,854,18788,1854,46000,46000,0,0,995704,46000,995704,1017704,6.516
1440,1722.141,3.383,16.574,19.957,32384,676.033,697.533,1041.141,0.000,313,52,52,50,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,135,2970,1135,48000,48000,0,0,1039704,49000,1061704,1083704,6.516
1500,1886.875,3.574,16.574,20.148,32208,708.408,732.252,1172.766,0.000,326,54,54,52,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,464,10208,1464,51000,51000,0,0,1105704,51000,1105704,1127704,6.516
1560,2028.141,3.285,16.574,19.859,35948,724.143,808.861,1298.672,0.000,339,56,56,54,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,632,13904,1632,53000,53000,0,0,1149704,53000,1149704,1171704,6.516
1620,2211.219,3.516,32.637,36.156,21010,844.939,874.424,1362.062,0.000,352,58,58,57,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,955,21010,955,56000,56000,0,0,1215704,56000,1215704,1215704,6.516
1680,2372.844,3.359,32.637,36.004,27104,845.127,924.049,1522.609,0.000,365,61,61,59,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,232,5104,1232,58000,58000,0,0,1259704,58000,1259704,1281704,6.516
1740,2551.875,3.270,32.637,35.906,33440,932.299,994.268,1614.391,0.000,378,63,63,61,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,520,11440,1520,60000,60000,0,0,1303704,60000,1303704,1325704,6.516
1800,2721.672,3.285,32.637,35.922,39820,893.237,1082.080,1822.984,0.000,391,65,65,63,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,810,17820,1810,62000,62000,0,0,1347704,62000,1347704,1369704,6.516
