elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes,phys_footprint_mb,phys_footprint_peak_mb,reclaimable_mb,compressed_mb,conj_snapshots_total,conj_current_epoch,conj_ceiling,conj_durable_watermark,durable_watermark_lag,claims,claim_lag_p50,claim_lag_p99,claim_lag_max,ret_epochs_claim_only,ret_epochs_durability_only,ret_epochs_both,ret_epochs_neither,ret_refs_claim_only,ret_refs_durability_only,ret_refs_both,ret_refs_neither,ret_stamped_bytes,ret_epochs_unslotted,ret_refs_open_epoch,ret_stamped_bytes_open_epoch,indexed_refs,considered_total,dropped_total,matched_nothing_total,absent_total,bytes_freed_total,removed_refs_observed_total,removed_bytes_observed_total,stamped_bytes_total,clean_mb
3720,2712.234,3.648,64.762,68.410,39908,2532.738,2688.738,212.234,36.219,806,134,134,132,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,814,17908,1814,131000,131000,0,0,2865706,131000,2865706,2887706,6.453
3780,2792.359,3.344,64.762,68.105,43802,2611.488,2688.738,212.234,35.828,819,136,136,134,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,991,21802,1991,133000,133000,0,0,2909706,133000,2909706,2931706,6.453
3840,2874.875,3.242,64.762,68.008,37466,2693.098,2693.098,212.234,34.891,832,139,139,137,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,167,3674,1167,135000,135000,0,0,2953706,136000,2975706,2997706,6.453
3901,2955.031,3.395,64.762,68.156,29502,2504.285,2742.191,480.281,33.922,845,141,141,139,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,341,7502,1341,138000,138000,0,0,3019706,138000,3019706,3041706,6.453
3960,3035.906,3.398,64.762,68.160,30976,2585.363,2742.191,480.281,33.547,858,143,143,141,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,408,8976,1408,140000,140000,0,0,3063706,140000,3063706,3085706,6.453
4021,3122.125,3.297,64.762,68.059,34100,2670.988,2742.191,480.281,33.172,871,145,145,143,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,550,12100,1550,142000,142000,0,0,3107706,142000,3107706,3129706,6.453
4080,3194.312,3.230,64.762,67.996,36498,2742.754,2742.754,480.281,32.234,884,147,147,145,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,659,14498,1659,144000,144000,0,0,3151706,144000,3151706,3173706,6.453
4140,3287.578,3.359,64.762,68.121,40749,2834.895,2834.895,480.281,31.844,897,149,149,147,2,1,0,0,0,0,1,0,0,0,1000,0,0,22648,0,786,18078,1786,146000,146000,0,0,3195706,146000,3195706,3218354,6.453
4200,3364.562,3.301,64.762,68.059,44459,2911.817,2911.817,480.281,31.734,910,151,151,149,2,1,0,0,0,0,1,0,0,0,1000,0,0,23000,0,933,21459,1933,148000,148000,0,0,3241354,148000,3241354,3264354,6.453
4260,3450.656,3.363,64.762,68.125,27968,2732.926,2936.707,744.766,30.938,923,153,153,152,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,992,22816,993,150000,150000,0,0,3287354,151000,3310354,3310354,6.453
4320,3528.062,3.395,64.762,68.160,27255,2809.504,2936.707,744.766,30.312,936,156,156,154,2,1,0,0,0,0,1,0,0,0,1000,0,0,23000,0,185,4255,1185,153000,153000,0,0,3356354,153000,3356354,3379354,6.453
4380,3611.047,3.410,64.762,68.172,30544,2892.207,2936.707,744.766,30.000,949,158,158,156,2,1,0,0,0,0,1,0,0,0,1000,0,0,23000,0,328,7544,1328,155000,155000,0,0,3402354,155000,3402354,3425354,6.453
