elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes,phys_footprint_mb,phys_footprint_peak_mb,reclaimable_mb,compressed_mb,conj_snapshots_total,conj_current_epoch,conj_ceiling,conj_durable_watermark,durable_watermark_lag,claims,claim_lag_p50,claim_lag_p99,claim_lag_max,ret_epochs_claim_only,ret_epochs_durability_only,ret_epochs_both,ret_epochs_neither,ret_refs_claim_only,ret_refs_durability_only,ret_refs_both,ret_refs_neither,ret_stamped_bytes,ret_epochs_unslotted,ret_refs_open_epoch,ret_stamped_bytes_open_epoch,indexed_refs,considered_total,dropped_total,matched_nothing_total,absent_total,bytes_freed_total,removed_refs_observed_total,removed_bytes_observed_total,stamped_bytes_total,clean_mb,alloc_live_bytes,alloc_live_mb,alloc_probe_elapsed_s,alloc_probe_seq
0,3.266,0.000,0.000,0.000,,2.016,2.016,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.922,91100,0.087,0,1
60,37.594,3.047,1.516,4.562,23874,25.375,26.719,5.422,0.000,14,4,4,2,2,1,0,0,0,0,1,0,0,0,1000,0,0,20535,0,159,3339,1159,1000,1000,0,0,19820,1000,19820,40355,6.750,17842194,17.016,60,3
120,56.734,3.148,2.520,5.668,27153,40.235,40.235,9.500,0.000,26,6,6,4,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,293,6153,1293,3000,3000,0,0,61355,3000,61355,82355,6.797,21290771,20.304,120,5
180,75.500,3.148,2.520,5.672,30618,53.547,53.547,17.938,0.000,39,8,8,6,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,458,9618,1458,5000,5000,0,0,103355,5000,103355,124355,6.797,22892398,21.832,180,7
240,105.500,3.062,4.527,7.590,33957,74.875,74.875,23.922,0.000,52,10,10,8,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,617,12957,1617,7000,7000,0,0,145355,7000,145355,166355,6.797,25315143,24.142,210,8
300,136.656,3.238,4.527,7.766,38766,94.313,97.141,35.438,0.000,65,12,12,10,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,846,17766,1846,9000,9000,0,0,187355,9000,187355,208355,6.797,31530001,30.069,300,11
360,169.781,3.234,4.527,7.773,41559,117.360,117.360,47.203,0.000,78,14,14,12,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,979,20559,1979,11000,11000,0,0,229355,11000,229355,250355,7.016,36289790,34.609,360,13
420,211.562,3.219,8.543,11.758,32288,147.641,147.641,58.125,0.000,91,17,17,15,2,1,0,0,0,0,1,0,0,0,1000,0,0,21352,0,163,3586,1163,13000,13000,0,0,271355,14000,292355,313707,7.016,37345149,35.615,390,14
480,261.109,3.488,8.543,12.043,31724,182.251,182.251,73.031,0.000,104,19,19,17,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,442,9724,1442,16000,16000,0,0,335707,16000,335707,357707,7.016,43307431,41.301,480,17
540,306.141,3.398,8.543,11.938,38258,210.610,210.610,88.469,0.000,117,21,21,19,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,739,16258,1739,18000,18000,0,0,379707,18000,379707,401707,7.016,45658847,43.544,540,19
600,357.109,3.309,8.543,11.852,22748,232.329,232.329,117.656,0.000,130,24,23,22,2,1,1,1,1,0,0,1,0,0,0,1000,0,22000,0,34,748,1034,21000,21000,0,0,445707,21000,445707,467707,7.016,48756250,46.498,600,21
660,406.391,3.254,8.543,11.797,35860,281.907,281.907,117.656,0.000,143,26,26,24,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,227,4994,1227,22000,22000,0,0,467707,23000,489707,511707,7.016,52268970,49.848,660,23
720,475.953,3.391,8.543,11.934,32406,329.954,329.954,139.047,0.000,156,28,28,26,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,473,10406,1473,25000,25000,0,0,533707,25000,533707,555707,7.016,52935050,50.483,690,24
780,529.000,3.555,16.574,20.129,37202,329.235,333.595,192.906,0.000,169,30,30,28,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,691,15202,1691,27000,27000,0,0,577707,27000,577707,599707,7.016,64290268,61.312,780,27
840,575.422,3.293,16.574,19.867,35860,356.016,356.016,212.625,0.000,182,32,32,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,905,19910,905,29000,29000,0,0,621707,30000,643707,643707,7.016,66418732,63.342,840,29
900,638.266,3.336,16.574,19.910,25124,,,,,195,35,35,33,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,142,3124,1142,32000,32000,0,0,687707,32000,687707,709707,,70406049,67.144,900,31
