elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes
0,3.000,0.000,0.000,0.000,
60,40.953,2.668,1.516,4.180,31760
120,54.703,2.828,2.520,5.348,24801
180,65.141,2.965,2.520,5.484,24402
240,79.266,2.844,4.527,7.371,23709
300,89.125,2.957,4.527,7.484,23142
361,63.266,3.137,4.527,7.668,23604
420,79.047,2.984,4.527,7.504,21126
480,91.359,2.984,8.543,11.527,20283
540,99.016,2.945,8.543,11.484,19778
600,130.547,2.855,8.543,11.395,16808
660,84.078,3.133,8.543,11.676,22836
720,91.375,2.703,8.543,11.242,19184
780,111.578,3.102,8.543,11.645,41206
840,142.453,3.262,8.543,11.805,38522
900,145.406,3.246,8.543,11.793,38280
