elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes
7440,3321.516,167.789,103.027,270.820,367477
7500,3338.188,169.680,103.027,272.715,367316
7560,3385.250,171.477,103.027,274.504,363176
7620,3409.312,173.250,103.027,276.254,362624
7680,3425.672,175.625,103.027,278.645,388177
7740,3444.500,177.555,103.027,280.578,390339
7800,3461.156,179.238,103.027,282.281,380196
7860,3476.344,181.340,103.027,284.363,394203
7920,3517.719,183.328,103.027,286.359,395859
7980,3532.625,185.188,103.027,288.203,397929
8040,3549.641,187.223,103.027,290.223,399562
8100,3571.719,189.211,103.027,292.234,399769
8160,3591.984,191.176,104.027,295.199,395951
8220,3611.266,193.242,107.027,300.273,395376
8280,3629.156,195.031,107.027,302.051,395422
8340,3646.250,196.988,107.027,304.008,395238
8400,3664.031,198.734,107.027,305.762,395169
8460,3679.109,200.863,107.027,307.887,408279
8520,3696.109,202.660,107.027,309.691,404070
8580,3726.047,204.629,107.027,311.664,395399
8640,3763.562,206.637,107.027,313.668,396963
8700,3783.297,208.477,107.027,315.520,409912
8760,3799.422,210.605,107.027,317.629,398205
8820,3815.000,212.586,107.027,319.617,425598
8880,3833.547,214.539,107.027,321.562,426173
8940,3852.281,216.457,107.027,323.484,424080
9000,3871.016,218.543,107.027,325.551,427484
9060,3891.359,220.227,107.027,327.250,425897
9120,3908.312,222.391,107.027,329.422,426058
9180,3925.250,224.273,107.027,331.285,427829
9240,3941.312,226.227,107.027,333.254,428726
