elapsed_secs,topgun_or_prune_passes_total,topgun_or_prune_considered_total,topgun_or_prune_dropped_total,topgun_or_prune_matched_nothing_total,topgun_or_prune_absent_total,topgun_or_prune_restored_read_error_total,topgun_or_prune_restored_evicted_total,topgun_or_prune_restored_write_error_total,topgun_or_prune_bytes_freed_total,topgun_or_prune_epochs_drained_total,topgun_or_prune_empty_drains_total,topgun_or_prune_nonempty_drains_total,topgun_or_prune_lwm_advances_total,topgun_or_prune_lwm_epochs_advanced_total,topgun_or_prune_split_recomputes_total,topgun_or_prune_indexed_refs,topgun_or_prune_indexed_epochs,topgun_or_prune_eligible_refs,topgun_or_prune_ineligible_refs,topgun_or_prune_split_computed_epoch,topgun_or_prune_current_epoch,topgun_or_prune_low_water_mark,topgun_or_prune_durable_epoch_watermark,topgun_or_prune_last_drained_epoch,topgun_or_prune_lwm_stall_seconds,topgun_or_prune_tracked_claims,topgun_or_prune_drain_refs_sum,topgun_or_prune_drain_refs_count,topgun_or_prune_drain_epochs_sum,topgun_or_prune_drain_epochs_count,topgun_or_prune_claim_span_epochs_sum,topgun_or_prune_claim_span_epochs_count,topgun_or_prune_claim_lag_epochs_sum,topgun_or_prune_claim_lag_epochs_count,topgun_or_prune_epoch_considered_sum,topgun_or_prune_epoch_considered_count,topgun_or_prune_epoch_dropped_sum,topgun_or_prune_epoch_dropped_count,topgun_or_prune_epoch_bytes_freed_sum,topgun_or_prune_epoch_bytes_freed_count,topgun_ormap_tombstone_bytes_total,topgun_or_prune_drain_refs_p50
10,332,0,0,0,0,0,0,0,0,0,332,0,2,2,2,332,1,0,62,2,2,2,0,0,6,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,6461,0
20,731,0,0,0,0,0,0,0,0,0,731,0,2,2,2,731,1,0,62,2,2,2,0,0,16,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,14441,0
30,1128,0,0,0,0,0,0,0,0,0,1128,0,3,3,3,1128,2,0,1076,3,3,3,0,0,0,1,0,0,0,0,0,3,0,3,0,0,0,0,0,0,22401,0
40,1500,0,0,0,0,0,0,0,0,0,1500,0,3,3,3,1500,2,0,1076,3,3,3,0,0,10,1,0,0,0,0,0,3,0,3,0,0,0,0,0,0,29857,0
50,1893,0,0,0,0,0,0,0,0,0,1893,0,3,3,3,1893,2,0,1076,3,3,3,0,0,20,1,0,0,0,0,0,3,0,3,0,0,0,0,0,0,38131,0
60,2234,0,0,0,0,0,0,0,0,0,2234,0,4,4,4,2234,3,0,2052,4,4,4,0,0,4,1,0,0,0,0,0,4,0,4,0,0,0,0,0,0,45271,0
70,2487,1000,1000,0,0,0,0,0,19821,1,2486,1,4,4,5,1487,2,1000,1235,4,4,4,2,2,14,1,1000,1,1,1,0,5,0,5,1000,1,1000,1,19821,1,50605,999.9447405703887
80,2862,1000,1000,0,0,0,0,0,19821,1,2861,1,4,4,6,863,1,1000,861,4,4,4,3,3,25,1,1000,1,1,1,0,6,0,6,1000,1,1000,1,19821,1,58480,999.9447405703887
90,3121,2000,2000,0,0,0,0,0,40357,2,3119,2,5,5,7,1121,2,0,1075,5,5,5,3,3,0,1,2000,2,2,2,0,7,0,7,2000,2,2000,2,40357,2,63898,999.9447405703887
100,3501,2000,2000,0,0,0,0,0,40357,2,3499,2,5,5,7,1501,2,0,1075,5,5,5,3,3,10,1,2000,2,2,2,0,7,0,7,2000,2,2000,2,40357,2,71878,999.9447405703887
110,3842,2000,2000,0,0,0,0,0,40357,2,3840,2,5,5,7,1842,2,0,1075,5,5,5,3,3,20,1,2000,2,2,2,0,7,0,7,2000,2,2000,2,40357,2,79039,999.9447405703887
120,4086,3000,3000,0,0,0,0,0,61357,3,4083,3,6,6,9,1086,2,1000,1075,6,6,6,4,4,4,1,3000,3,3,3,0,9,0,9,3000,3,3000,3,61357,3,84163,999.9447405703887
130,4471,3000,3000,0,0,0,0,0,61357,3,4468,3,6,6,9,1471,2,1000,1075,6,6,6,4,4,14,1,3000,3,3,3,0,9,0,9,3000,3,3000,3,61357,3,92248,999.9447405703887
140,4716,4000,4000,0,0,0,0,0,82357,4,4712,4,6,6,10,716,1,1000,657,6,6,6,5,5,24,1,4000,4,4,4,0,10,0,10,4000,4,4000,4,82357,4,97393,999.9447405703887
150,5088,4000,4000,0,0,0,0,0,82357,4,5084,4,7,7,11,1088,2,0,1040,7,7,7,5,5,0,1,4000,4,4,4,0,11,0,11,4000,4,4000,4,82357,4,105205,999.9447405703887
160,5429,4000,4000,0,0,0,0,0,82357,4,5425,4,7,7,11,1429,2,0,1040,7,7,7,5,5,10,1,4000,4,4,4,0,11,0,11,4000,4,4000,4,82357,4,112408,999.9447405703887
170,5808,4000,4000,0,0,0,0,0,82357,4,5804,4,7,7,11,1808,2,0,1040,7,7,7,5,5,20,1,4000,4,4,4,0,11,0,11,4000,4,4000,4,82357,4,120325,999.9447405703887
180,6037,5000,5000,0,0,0,0,0,103357,5,6032,5,8,8,13,1037,2,0,1007,8,8,8,6,6,0,1,5000,5,5,5,0,13,0,13,5000,5,5000,5,103357,5,125134,999.9447405703887
190,6418,5000,5000,0,0,0,0,0,103357,5,6413,5,8,8,13,1418,2,0,1007,8,8,8,6,6,10,1,5000,5,5,5,0,13,0,13,5000,5,5000,5,103357,5,133135,999.9447405703887
200,6809,5000,5000,0,0,0,0,0,103357,5,6804,5,8,8,13,1809,2,0,1007,8,8,8,6,6,20,1,5000,5,5,5,0,13,0,13,5000,5,5000,5,103357,5,141346,999.9447405703887
210,7065,5000,5000,0,0,0,0,0,103357,5,7060,5,9,9,15,1066,2,1000,1065,9,9,9,7,7,2,1,5000,5,5,5,0,15,0,15,5000,5,5000,5,103357,5,146743,999.9447405703887
220,7387,6000,6000,0,0,0,0,0,124357,6,7381,6,9,9,15,1387,2,1000,1065,9,9,9,7,7,12,1,6000,6,6,6,0,15,0,15,6000,6,6000,6,124357,6,153484,999.9447405703887
230,7627,6000,6000,0,0,0,0,0,124357,6,7621,6,9,9,16,628,1,1000,621,9,9,9,8,8,22,1,6000,6,6,6,0,16,0,16,6000,6,6000,6,124357,6,158545,999.9447405703887
240,8007,7000,7000,0,0,0,0,0,145357,7,8000,7,9,9,16,1007,2,1000,621,9,10,9,8,8,32,1,7000,7,7,7,0,16,0,16,7000,7,7000,7,145357,7,166504,999.9447405703887
250,8389,7000,7000,0,0,0,0,0,145357,7,8382,7,10,10,17,1389,2,0,1057,10,10,10,8,8,8,1,7000,7,7,7,0,17,0,17,7000,7,7000,7,145357,7,174526,999.9447405703887
261,8771,7000,7000,0,0,0,0,0,145357,7,8764,7,10,10,17,1771,2,0,1057,10,10,10,8,8,18,1,7000,7,7,7,0,17,0,17,7000,7,7000,7,145357,7,182548,999.9447405703887
270,8976,8000,8000,0,0,0,0,0,166357,8,8968,8,10,10,18,976,1,1000,844,10,10,10,9,9,28,1,8000,8,8,8,0,18,0,18,8000,8,8000,8,166357,8,186853,999.9447405703887
280,9360,8000,8000,0,0,0,0,0,166357,8,9352,8,11,11,19,1360,2,0,1040,11,11,11,9,9,8,1,8000,8,8,8,0,19,0,19,8000,8,8000,8,166357,8,194917,999.9447405703887
290,9736,8000,8000,0,0,0,0,0,166357,8,9728,8,11,11,19,1736,2,0,1040,11,11,11,9,9,18,1,8000,8,8,8,0,19,0,19,8000,8,8000,8,166357,8,202813,999.9447405703887
300,10041,8000,8000,0,0,0,0,0,166357,8,10033,8,12,12,21,1042,2,1000,1032,12,12,12,10,10,2,1,8000,8,8,8,0,21,0,21,8000,8,8000,8,166357,8,209239,999.9447405703887
310,10299,9000,9000,0,0,0,0,0,187357,9,10290,9,12,12,21,1299,2,1000,1032,12,12,12,10,10,12,1,9000,9,9,9,0,21,0,21,9000,9,9000,9,187357,9,214636,999.9447405703887
320,10486,9000,9000,0,0,0,0,0,187357,9,10477,9,12,12,22,487,1,1000,480,12,12,12,11,11,22,1,9000,9,9,9,0,22,0,22,9000,9,9000,9,187357,9,218584,999.9447405703887
330,10863,10000,10000,0,0,0,0,0,208357,10,10853,10,12,12,22,863,1,1000,480,12,12,12,11,11,32,1,10000,10,10,10,0,22,0,22,10000,10,10000,10,208357,10,226480,999.9447405703887
340,11240,10000,10000,0,0,0,0,0,208357,10,11230,10,13,13,23,1240,2,0,1006,13,13,13,11,11,6,1,10000,10,10,10,0,23,0,23,10000,10,10000,10,208357,10,234397,999.9447405703887
350,11624,10000,10000,0,0,0,0,0,208357,10,11614,10,13,13,23,1624,2,0,1006,13,13,13,11,11,16,1,10000,10,10,10,0,23,0,23,10000,10,10000,10,208357,10,242461,999.9447405703887
360,11850,11000,11000,0,0,0,0,0,229357,11,11839,11,13,13,24,850,1,1000,683,13,13,13,12,12,26,1,11000,11,11,11,0,24,0,24,11000,11,11000,11,229357,11,247207,999.9447405703887
370,12197,11000,11000,0,0,0,0,0,229357,11,12186,11,14,14,25,1197,2,0,1059,14,14,14,12,12,2,1,11000,11,11,11,0,25,0,25,11000,11,11000,11,229357,11,254494,999.9447405703887
380,12587,11000,11000,0,0,0,0,0,229357,11,12576,11,14,14,25,1587,2,0,1059,14,14,14,12,12,12,1,11000,11,11,11,0,25,0,25,11000,11,11000,11,229357,11,262684,999.9447405703887
390,12850,11000,11000,0,0,0,0,0,229357,11,12839,11,14,14,26,851,1,1000,845,14,14,14,13,13,24,1,11000,11,11,11,0,26,0,26,11000,11,11000,11,229357,11,268228,999.9447405703887
