elapsed_secs,topgun_or_prune_passes_total,topgun_or_prune_considered_total,topgun_or_prune_dropped_total,topgun_or_prune_matched_nothing_total,topgun_or_prune_absent_total,topgun_or_prune_restored_read_error_total,topgun_or_prune_restored_evicted_total,topgun_or_prune_restored_write_error_total,topgun_or_prune_bytes_freed_total,topgun_or_prune_epochs_drained_total,topgun_or_prune_empty_drains_total,topgun_or_prune_nonempty_drains_total,topgun_or_prune_lwm_advances_total,topgun_or_prune_lwm_epochs_advanced_total,topgun_or_prune_split_recomputes_total,topgun_or_prune_indexed_refs,topgun_or_prune_indexed_epochs,topgun_or_prune_eligible_refs,topgun_or_prune_ineligible_refs,topgun_or_prune_split_computed_epoch,topgun_or_prune_current_epoch,topgun_or_prune_low_water_mark,topgun_or_prune_durable_epoch_watermark,topgun_or_prune_last_drained_epoch,topgun_or_prune_lwm_stall_seconds,topgun_or_prune_tracked_claims,topgun_or_prune_drain_refs_sum,topgun_or_prune_drain_refs_count,topgun_or_prune_drain_epochs_sum,topgun_or_prune_drain_epochs_count,topgun_or_prune_claim_span_epochs_sum,topgun_or_prune_claim_span_epochs_count,topgun_or_prune_claim_lag_epochs_sum,topgun_or_prune_claim_lag_epochs_count,topgun_or_prune_epoch_considered_sum,topgun_or_prune_epoch_considered_count,topgun_or_prune_epoch_dropped_sum,topgun_or_prune_epoch_dropped_count,topgun_or_prune_epoch_bytes_freed_sum,topgun_or_prune_epoch_bytes_freed_count,topgun_ormap_tombstone_bytes_total,topgun_or_prune_drain_refs_p50,topgun_or_prune_stamped_refs_total_a,topgun_or_prune_stamped_refs_total_b,topgun_or_prune_stamped_bytes_total_a,topgun_or_prune_stamped_bytes_total_b,topgun_or_prune_drained_refs_total_a,topgun_or_prune_drained_refs_total_b,topgun_or_prune_restored_refs_total_a,topgun_or_prune_restored_refs_total_b,topgun_or_prune_rebuild_cleared_refs_total_a,topgun_or_prune_rebuild_cleared_refs_total_b,topgun_or_prune_epochs_entered_total_a,topgun_or_prune_epochs_entered_total_b,topgun_or_prune_epochs_exited_total_a,topgun_or_prune_epochs_exited_total_b,topgun_or_prune_indexed_refs_a,topgun_or_prune_indexed_refs_b,o0_tear_class
21610,652008,99000,99000,0,0,0,0,0,2219715,99,651909,99,654,654,1306,561,1,1000,252,654,654,654,653,653,27,1,99000,99,99,99,5,1306,5,1306,99000,99,99000,99,2219715,99,14846508,0,652000,652000,14833605,14833605,652000,652000,0,0,0,0,653,653,652,652,561,561,CONSISTENT
21620,652292,99000,99000,0,0,0,0,0,2219715,99,652193,99,654,654,1306,845,1,1000,252,654,654,654,653,653,37,1,99000,99,99,99,5,1306,5,1306,99000,99,99000,99,2219715,99,14853040,0,652000,652000,14833605,14833605,652000,652000,0,0,0,0,653,653,652,652,845,845,CONSISTENT
21630,652564,99000,99000,0,0,0,0,0,2219715,99,652465,99,655,655,1307,1117,2,0,1013,655,655,655,653,653,2,1,99000,99,99,99,5,1307,5,1307,99000,99,99000,99,2219715,99,14859319,0,653000,653000,14856605,14856605,652000,652000,0,0,0,0,654,654,652,652,1120,1120,CONSISTENT
21640,652846,99000,99000,0,0,0,0,0,2219715,99,652747,99,655,655,1307,1399,2,0,1013,655,655,655,653,653,14,1,99000,99,99,99,5,1307,5,1307,99000,99,99000,99,2219715,99,14865782,0,653000,653000,14856605,14856605,652000,652000,0,0,0,0,654,654,652,652,1400,1400,CONSISTENT
21650,652965,99000,99000,0,0,0,0,0,2219715,99,652866,99,655,655,1308,519,1,1000,471,655,655,655,654,654,22,1,99000,99,99,99,5,1308,5,1308,99000,99,99000,99,2219715,99,14868565,0,653000,653000,14856605,14856605,653000,653000,0,0,0,0,654,654,653,653,520,520,CONSISTENT
21660,653197,99000,99000,0,0,0,0,0,2219715,99,653098,99,655,655,1308,751,1,1000,471,655,655,655,654,654,32,1,99000,99,99,99,5,1308,5,1308,99000,99,99000,99,2219715,99,14873878,0,653000,653000,14856605,14856605,653000,653000,0,0,0,0,654,654,653,653,751,751,CONSISTENT
21670,653424,99000,99000,0,0,0,0,0,2219715,99,653325,99,655,655,1308,978,1,1000,471,655,655,655,654,654,42,1,99000,99,99,99,5,1308,5,1308,99000,99,99000,99,2219715,99,14879099,0,653000,653000,14856605,14856605,653000,653000,0,0,0,0,654,654,653,653,978,978,CONSISTENT
21680,653659,99000,99000,0,0,0,0,0,2219715,99,653560,99,656,656,1309,1213,2,0,1050,656,656,656,654,654,6,1,99000,99,99,99,5,1309,5,1309,99000,99,99000,99,2219715,99,14884504,0,654000,654000,14879605,14879605,653000,653000,0,0,0,0,655,655,653,653,1213,1213,CONSISTENT
21690,653789,99000,99000,0,0,0,0,0,2219715,99,653690,99,656,656,1310,344,1,1000,288,656,656,656,655,655,16,1,99000,99,99,99,5,1310,5,1310,99000,99,99000,99,2219715,99,14887540,0,654000,654000,14879605,14879605,654000,654000,0,0,0,0,655,655,654,654,345,345,CONSISTENT
21700,654038,99000,99000,0,0,0,0,0,2219715,99,653939,99,656,656,1310,593,1,1000,288,656,656,656,655,655,27,1,99000,99,99,99,5,1310,5,1310,99000,99,99000,99,2219715,99,14893267,0,654000,654000,14879605,14879605,654000,654000,0,0,0,0,655,655,654,654,595,595,CONSISTENT
21711,654327,99000,99000,0,0,0,0,0,2219715,99,654228,99,656,656,1310,882,1,1000,288,656,656,656,655,655,37,1,99000,99,99,99,5,1310,5,1310,99000,99,99000,99,2219715,99,14899891,0,654000,654000,14879605,14879605,654000,654000,0,0,0,0,655,655,654,654,883,883,CONSISTENT
21720,654571,99000,99000,0,0,0,0,0,2219715,99,654472,99,657,657,1311,1126,2,0,1014,657,657,657,655,655,4,1,99000,99,99,99,5,1311,5,1311,99000,99,99000,99,2219715,99,14905503,0,655000,655000,14902605,14902605,654000,654000,0,0,0,0,656,656,654,654,1126,1126,CONSISTENT
21730,654851,99000,99000,0,0,0,0,0,2219715,99,654752,99,657,657,1311,1406,2,0,1014,657,657,657,655,655,14,1,99000,99,99,99,5,1311,5,1311,99000,99,99000,99,2219715,99,14911943,0,655000,655000,14902605,14902605,654000,654000,0,0,0,0,656,656,654,654,1406,1406,CONSISTENT
21740,655028,99000,99000,0,0,0,0,0,2219715,99,654929,99,657,657,1312,584,1,1000,580,657,657,657,656,656,24,1,99000,99,99,99,5,1312,5,1312,99000,99,99000,99,2219715,99,14916037,0,655000,655000,14902605,14902605,655000,655000,0,0,0,0,656,656,655,655,584,584,CONSISTENT
21750,655275,99000,99000,0,0,0,0,0,2219715,99,655176,99,657,657,1312,831,1,1000,580,657,657,657,656,656,34,1,99000,99,99,99,5,1312,5,1312,99000,99,99000,99,2219715,99,14921718,0,655000,655000,14902605,14902605,655000,655000,0,0,0,0,656,656,655,655,831,831,CONSISTENT
21760,655522,99000,99000,0,0,0,0,0,2219715,99,655423,99,658,658,1313,1078,2,0,1026,658,658,658,656,656,0,1,99000,99,99,99,5,1313,5,1313,99000,99,99000,99,2219715,99,14927399,0,656000,656000,14925605,14925605,655000,655000,0,0,0,0,657,657,655,655,1078,1078,CONSISTENT
21770,655805,99000,99000,0,0,0,0,0,2219715,99,655706,99,658,658,1313,1361,2,0,1026,658,658,658,656,656,10,1,99000,99,99,99,5,1313,5,1313,99000,99,99000,99,2219715,99,14933931,0,656000,656000,14925605,14925605,655000,655000,0,0,0,0,657,657,655,655,1364,1364,CONSISTENT
21780,655972,99000,99000,0,0,0,0,0,2219715,99,655873,99,658,658,1314,529,1,1000,511,658,658,658,657,657,20,1,99000,99,99,99,5,1314,5,1314,99000,99,99000,99,2219715,99,14937772,0,656000,656000,14925605,14925605,656000,656000,0,0,0,0,657,657,656,656,529,529,CONSISTENT
21790,656249,99000,99000,0,0,0,0,0,2219715,99,656150,99,658,658,1314,806,1,1000,511,658,658,658,657,657,30,1,99000,99,99,99,5,1314,5,1314,99000,99,99000,99,2219715,99,14944143,0,656000,656000,14925605,14925605,656000,656000,0,0,0,0,657,657,656,656,806,806,CONSISTENT
21800,656531,99000,99000,0,0,0,0,0,2219715,99,656432,99,659,659,1315,1088,2,0,1039,659,659,659,657,657,0,1,99000,99,99,99,5,1315,5,1315,99000,99,99000,99,2219715,99,14950629,0,657000,657000,14948605,14948605,656000,656000,0,0,0,0,658,658,656,656,1088,1088,CONSISTENT
