elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes
0,3.031,0.000,0.000,0.000,
60,39.188,2.656,1.516,4.176,24582
120,52.906,2.902,2.520,5.422,23688
180,65.828,2.844,2.520,5.363,24654
240,90.859,2.891,4.527,7.418,22470
300,100.922,3.035,4.527,7.562,42441
360,129.312,3.086,4.527,7.605,36582
420,167.719,3.133,4.527,7.656,35763
480,217.422,2.609,8.543,11.152,12534
540,269.219,3.219,8.543,11.762,33522
600,324.312,3.215,8.543,11.754,30288
660,378.453,3.332,8.543,11.879,26064
720,451.453,3.668,8.543,12.211,46392
780,516.406,3.523,8.543,12.066,22412
840,583.297,3.484,8.543,12.031,20388
900,669.828,3.746,16.574,20.316,26108
960,750.250,4.156,16.574,20.730,41398
1020,823.531,4.184,16.574,20.758,38406
1080,929.859,4.402,16.574,20.977,37592
1140,1038.156,4.938,16.574,21.516,36888
1200,1110.641,4.988,16.574,21.566,35062
1260,1146.281,5.449,16.574,22.023,30332
1320,1192.922,5.781,16.574,22.359,28946
1380,1260.375,6.203,16.574,22.789,26086
1440,1301.766,6.387,16.574,22.961,25646
1500,1359.281,7.172,16.574,23.746,49736
1560,1407.438,7.809,16.574,24.383,46194
1620,1478.375,8.184,16.574,24.758,46678
1680,1527.328,8.574,16.574,25.145,46018
1740,1587.969,9.270,32.637,41.910,45666
1800,1641.875,9.773,32.637,42.406,46084
