elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes
7260,5292.672,163.496,101.027,264.520,272774
7320,5381.688,165.609,101.027,266.633,280548
7380,5394.219,167.660,101.027,268.680,281882
7440,5367.203,169.777,101.027,270.789,281491
7500,5461.641,171.598,101.027,272.637,281169
7560,5373.766,173.531,103.027,276.555,279398
7620,5424.109,175.406,105.027,280.430,279789
7680,5512.016,177.578,105.027,282.609,279490
7740,5587.797,179.566,105.027,284.598,280732
7800,5679.281,181.684,105.027,286.707,281123
7860,5750.375,183.535,105.027,288.562,278455
7920,5809.078,185.883,105.027,290.906,280433
7980,5907.547,187.973,105.027,292.980,280341
8040,5961.094,189.875,105.027,294.902,279996
8100,5814.422,191.844,105.027,296.879,283791
8160,5915.141,194.254,105.027,299.285,300397
8220,6008.641,196.133,105.027,301.164,278179
8280,6055.359,198.371,105.027,303.402,295935
8340,6142.516,200.414,105.027,305.430,280111
8400,6261.125,202.691,105.027,307.719,280617
8460,6369.828,204.766,105.027,309.797,298649
8520,6445.516,206.711,105.027,311.734,287540
8580,6477.516,208.664,105.027,313.699,287425
8640,6574.312,211.176,105.027,316.184,306653
8700,6627.875,212.789,105.027,317.828,281629
8760,6719.906,215.184,105.027,320.211,301363
8820,6717.031,217.457,105.027,322.480,305825
8880,6797.531,219.297,105.027,324.320,289863
8940,6772.562,221.570,105.027,326.582,305825
9000,6599.438,223.422,105.027,328.453,286528
9060,6694.203,225.789,105.027,330.812,302904
9120,6789.484,228.074,105.027,333.086,303663
9180,6883.922,229.996,105.027,335.023,299086
9240,6956.859,232.195,105.027,337.215,303295
9300,7029.078,234.059,105.027,339.086,288184
9360,7097.734,236.383,105.027,341.418,302697
9420,7188.031,238.504,105.027,343.527,302881
9480,7232.094,240.660,105.027,345.695,303111
9540,7245.328,242.848,105.027,347.867,304100
9600,7331.656,244.652,105.027,349.684,307872
9660,7291.438,246.754,105.027,351.773,305572
9720,6777.734,248.871,105.027,353.898,305733
9780,6734.328,250.957,105.027,355.988,306998
9840,6890.812,252.926,105.027,357.941,307435
9900,6739.484,255.074,105.027,360.105,306952
9960,6455.422,256.969,105.027,362.000,306331
10020,6542.641,259.000,105.027,364.027,307274
10080,6627.859,261.301,105.027,366.324,309643
10140,6714.906,263.098,105.027,368.121,309436
10200,6712.281,265.469,105.027,370.496,308884
10260,6845.953,267.559,105.027,372.566,307044
10320,6872.641,269.512,105.027,374.531,307297
10380,6941.641,271.707,105.027,376.730,308240
10440,7033.016,273.730,105.027,378.750,307987
10500,7078.516,275.980,105.027,381.012,308332
10560,7132.375,277.891,105.027,382.922,305503
10620,7204.594,280.137,105.027,385.172,306147
10680,7317.594,282.164,105.027,387.184,313484
10740,7403.828,284.191,106.027,390.207,307182
10800,7467.688,286.234,106.027,392.270,320407
10860,7527.266,288.012,111.027,399.016,310034
10920,7620.578,290.328,113.027,403.367,330320
10980,7688.500,292.242,119.027,411.262,310724
11040,7731.031,294.543,119.027,413.566,337036
11100,7458.156,296.641,121.027,417.672,338669
11160,7234.484,298.711,121.027,419.730,337979
11220,7252.141,300.793,121.027,421.812,338002
11280,7310.016,302.746,121.027,423.762,340923
11340,7332.578,304.926,122.027,426.957,340877
11400,7313.516,306.852,125.027,431.875,344281
11460,7371.344,308.859,125.027,433.879,343131
11520,7494.594,310.887,125.027,435.898,343637
11580,7526.609,312.949,129.012,441.969,345385
11640,7612.672,315.078,129.012,444.090,345822
11700,7686.734,316.926,129.012,445.949,346903
11760,7533.359,319.027,129.012,448.059,345845
11820,7477.859,320.934,129.012,449.945,350307
11880,7600.016,323.004,129.012,451.941,351756
11940,7637.984,325.035,129.012,454.062,353435
12000,7624.922,327.258,129.012,456.273,357069
12060,7545.938,329.289,129.012,458.297,370455
12120,7735.812,331.395,129.012,460.414,367672
12180,7773.797,333.391,129.012,462.395,371720
12240,7709.078,335.746,129.012,464.766,388924
12300,7642.062,337.492,129.012,466.508,378643
12360,7822.672,339.664,129.012,468.688,388096
12420,7793.422,341.668,129.012,470.672,394582
12480,7539.922,343.793,129.012,472.797,397572
12540,7105.578,345.641,129.012,474.652,401781
12600,8003.734,347.707,129.012,476.730,408060
12660,7919.750,349.578,129.012,478.570,410475
12720,7861.062,351.574,129.012,480.590,414776
12780,8062.984,353.520,129.012,482.535,418456
12840,8041.016,355.840,129.012,484.852,422044
12900,8109.844,357.758,129.012,486.766,437730
12960,8225.656,359.762,129.012,488.777,429174
13020,8244.094,361.777,129.012,490.805,442951
13080,8092.953,363.793,129.012,492.805,436442
13140,7947.406,365.777,129.012,494.793,447114
13200,8072.844,368.227,129.012,497.242,469930
13260,8097.391,370.055,129.012,499.062,473633
13320,8019.219,372.086,129.012,501.098,479751
13380,8192.469,374.020,138.516,512.535,485616
13440,8340.969,376.055,139.527,515.566,493712
13500,6973.234,377.637,139.527,517.176,500290
13560,8270.953,379.895,163.527,543.426,528856
13620,8126.875,381.957,167.527,549.480,537619
13680,8289.203,383.867,179.527,563.395,544726
13740,8061.750,385.648,193.527,579.160,553167
13800,7615.469,387.410,193.527,580.945,565932
13860,8395.094,389.195,193.527,582.727,581020
13920,8548.234,391.133,197.527,588.656,591370
13980,8326.516,392.828,197.527,590.363,599489
14040,8546.719,395.000,197.527,592.523,625962
14100,7384.125,396.637,197.527,594.168,631551
14160,8433.016,398.363,197.527,595.883,637025
14220,8145.500,400.191,197.527,597.711,647237
14280,8458.750,402.160,197.527,599.691,672652
14340,8472.094,404.094,205.527,609.617,683646
14400,8359.297,406.008,205.527,611.551,691581
14460,6885.078,407.520,205.527,613.055,700229
14520,7494.719,409.906,207.527,617.430,728082
14580,8438.156,411.582,207.527,619.078,735465
14640,8560.125,413.590,207.527,621.117,744136
14700,8405.656,415.309,207.527,622.840,753980
14760,6581.531,417.285,207.527,624.824,777992
14820,7483.172,419.055,211.527,630.586,786479
14880,7908.422,420.711,211.527,632.230,804304
14940,7766.094,422.445,211.527,633.965,818771
15000,6965.688,423.883,211.527,635.414,829558
15060,8041.812,425.766,211.527,637.273,850603
15120,7514.875,427.375,211.527,638.906,857710
15180,9071.031,429.398,211.527,640.934,887150
15240,9157.484,431.512,211.527,643.043,898558
15300,9088.453,433.066,211.527,644.605,911967
15360,9268.891,434.992,211.527,646.484,920937
15420,9356.734,436.992,211.527,648.523,933081
15480,9459.828,439.160,211.527,650.707,964476
15540,9521.297,440.855,211.527,652.391,970709
15600,9545.234,442.832,211.527,654.363,989270
15660,9499.141,444.539,211.527,656.066,998102
15720,9529.859,446.742,211.527,658.254,1010959
15780,9507.109,448.477,213.527,661.984,1023977
15840,9564.719,450.555,213.527,664.078,1036075
15900,9636.406,452.328,213.527,665.871,1050450
15960,9734.984,454.395,213.527,667.930,1073933
16020,9642.859,456.520,213.527,670.023,1092264
16080,9608.625,458.418,213.527,671.922,1107789
16140,9603.938,459.895,213.527,673.406,1119289
16200,9627.109,461.613,213.527,675.145,1134423
16260,9627.031,463.387,213.527,676.930,1152938
16320,9203.859,465.570,213.527,679.082,1178928
16380,9811.609,467.375,213.527,680.895,1195005
16440,9220.594,469.047,213.527,682.535,1210116
16500,9096.094,470.645,213.527,684.168,1227251
16560,9497.125,472.945,213.527,686.465,1254529
16620,9080.891,474.633,213.527,688.125,1270422
16680,9529.594,476.602,213.527,690.137,1284222
16740,9395.828,478.141,213.527,691.645,1301403
16800,8999.891,479.836,213.527,693.379,1318653
16860,9156.938,482.000,213.527,695.547,1342918
16920,9326.453,483.570,213.527,697.000,1356074
16980,9722.547,485.676,223.527,709.207,1385169
