elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes,phys_footprint_mb,phys_footprint_peak_mb,reclaimable_mb,compressed_mb,conj_snapshots_total,conj_current_epoch,conj_ceiling,conj_durable_watermark,durable_watermark_lag,claims,claim_lag_p50,claim_lag_p99,claim_lag_max,ret_epochs_claim_only,ret_epochs_durability_only,ret_epochs_both,ret_epochs_neither,ret_refs_claim_only,ret_refs_durability_only,ret_refs_both,ret_refs_neither,ret_stamped_bytes,ret_epochs_unslotted,ret_refs_open_epoch,ret_stamped_bytes_open_epoch,indexed_refs,considered_total,dropped_total,matched_nothing_total,absent_total,bytes_freed_total,removed_refs_observed_total,removed_bytes_observed_total,stamped_bytes_total,clean_mb,alloc_live_bytes,alloc_live_mb,alloc_probe_elapsed_s,alloc_probe_seq
0,0.031,0.000,0.000,0.000,,0.078,0.094,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031,,,,
60,41.906,2.910,1.516,4.422,32842,34.657,34.657,0.594,0.000,13,4,4,2,2,1,0,0,0,0,1,0,0,0,1000,0,0,20535,0,267,5607,1267,0,0,0,0,0,1000,19821,40356,6.750,16365432,15.607,30,2
120,56.031,3.164,2.520,5.684,32634,37.266,37.938,11.734,0.000,26,6,6,4,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,554,11634,1554,3000,3000,0,0,61356,3000,61356,82356,6.812,23250200,22.173,120,5
180,67.062,3.277,2.520,5.789,35490,42.407,42.407,17.609,0.000,39,8,8,6,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,689,14469,1689,5000,5000,0,0,103356,5000,103356,124356,6.812,23845721,22.741,150,6
240,80.297,3.203,4.527,7.727,37968,51.313,51.313,22.188,0.000,52,10,10,8,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,808,16968,1808,7000,7000,0,0,145356,7000,145356,166356,6.812,28694461,27.365,210,8
300,106.719,3.137,4.527,7.664,28434,69.047,69.047,30.891,0.000,65,12,12,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,943,19803,943,9000,9000,0,0,187356,10000,208356,208356,6.812,33062605,31.531,300,11
360,137.266,3.230,4.527,7.754,20034,79.469,79.469,51.219,0.000,78,14,14,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,954,20034,954,12000,12000,0,0,250356,12000,250356,250356,7.031,34570880,32.969,330,12
421,174.938,3.289,8.543,11.836,23904,78.516,80.407,89.297,0.000,91,17,17,15,2,1,0,0,0,0,1,0,0,0,1000,0,0,21352,0,116,2552,1116,14000,14000,0,0,292356,14000,292356,313708,7.031,41802391,39.866,420,15
480,205.828,3.117,8.543,11.648,47190,73.672,80.407,125.703,0.000,104,19,19,17,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,198,4356,1198,15000,15000,0,0,313708,16000,335708,357708,7.031,42926260,40.938,450,16
540,251.953,3.262,8.543,11.801,32912,76.829,84.454,168.453,0.000,117,21,21,19,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,311,6842,1311,17000,17000,0,0,357708,18000,379708,401708,7.031,45176968,43.084,510,18
600,290.594,3.500,8.543,12.039,32076,75.626,84.454,207.906,0.000,130,23,23,21,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,458,10076,1458,20000,20000,0,0,423708,20000,423708,445708,7.031,49735698,47.432,600,21
660,326.219,3.422,8.543,11.980,32736,69.001,84.454,250.188,0.000,143,25,25,23,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,488,10736,1488,22000,22000,0,0,467708,22000,467708,489708,7.031,50792529,48.440,630,22
720,370.500,3.172,8.543,11.715,37246,77.407,84.454,286.219,0.000,156,27,27,25,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,693,15246,1693,24000,24000,0,0,511708,24000,511708,533708,7.031,56499193,53.882,720,25
780,432.312,3.305,16.574,19.879,18722,92.813,96.001,332.422,0.000,169,29,29,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,851,18722,851,27000,27000,0,0,577708,27000,577708,577708,7.031,59321036,56.573,750,26
840,488.781,3.473,16.574,20.047,23100,96.798,96.798,384.922,0.000,182,32,31,30,2,1,1,1,1,0,0,1,0,0,0,1000,0,22000,0,50,1100,1050,29000,29000,0,0,621708,29000,621708,643708,7.031,66390793,63.315,810,28
900,539.688,3.539,16.574,20.109,27412,93.188,97.485,439.656,0.000,195,34,34,32,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,246,5412,1246,31000,31000,0,0,665708,31000,665708,687708,7.031,70163334,66.913,900,31
